[2/32] Running on node112
[4/32] Running on node112
[5/32] Running on node112
[6/32] Running on node112
[7/32] Running on node112
[8/32] Running on node112
DESC: dir=/var/scratch/dbuurman/kmeans/size_26/clusters_4/dimension_4/seed_971 numMeans=4 convergenceDelta=0.0001 thresholdMultiplier=0
[1/32] Running on node112
[3/32] Running on node112
[20/32] Running on node114
[21/32] Running on node114
[9/32] Running on node113
[23/32] Running on node114
[17/32] Running on node114
[18/32] Running on node114
[19/32] Running on node114
[12/32] Running on node113
[22/32] Running on node114
[24/32] Running on node114
[14/32] Running on node113
[10/32] Running on node113
[11/32] Running on node113
[13/32] Running on node113
[15/32] Running on node113
[16/32] Running on node113
[31/32] Running on node115
[27/32] Running on node115
[28/32] Running on node115
[30/32] Running on node115
[29/32] Running on node115
[32/32] Running on node115
[25/32] Running on node115
[26/32] Running on node115

Reading file: /var/scratch/dbuurman/kmeans/size_26/clusters_4/dimension_4/seed_971/data.txt
EXP: readTime 46.6423 seconds
Detected 67108864 data points of dimension 4.


EXP 1: using seed ace518ae
EXP 4: [32/32] calculationTime 1.74607 seconds
EXP 4: [23/32] calculationTime 1.74606 seconds
EXP 4: [25/32] calculationTime 1.74607 seconds
EXP 4: [16/32] calculationTime 1.74607 seconds
EXP 4: [21/32] calculationTime 1.74606 seconds
EXP 4: [31/32] calculationTime 1.74607 seconds
EXP 4: [14/32] calculationTime 1.74607 seconds
EXP 4: [22/32] calculationTime 1.74607 seconds
EXP 4: [27/32] calculationTime 1.74607 seconds
EXP 4: [20/32] calculationTime 1.74607 seconds
EXP 4: [26/32] calculationTime 1.74607 seconds
EXP 4: [12/32] calculationTime 1.74607 seconds
EXP 4: [19/32] calculationTime 1.74606 seconds
EXP 4: [29/32] calculationTime 1.74607 seconds
EXP 4: [9/32] calculationTime 1.74607 seconds
EXP 4: [17/32] calculationTime 1.74606 seconds
EXP 4: [28/32] calculationTime 1.74607 seconds
EXP 4: [11/32] calculationTime 1.74607 seconds
EXP 4: [30/32] calculationTime 1.74607 seconds
EXP 4: [13/32] calculationTime 1.74607 seconds
EXP 4: [18/32] calculationTime 1.74607 seconds
EXP 4: [24/32] calculationTime 1.74607 seconds
EXP 4: writeTime 0.000871999 seconds
EXP 5: using seed d17b7b37
EXP 5: [6/32] calculationTime 1.9584 seconds
EXP 5: [7/32] calculationTime 1.9584 seconds
EXP 5: [8/32] calculationTime 1.9584 seconds
EXP 5: [3/32] calculationTime 1.9584 seconds
EXP 5: [4/32] calculationTime 1.9584 seconds
Stopping iterations due to convergence delta.
EXP 5: [1/32] calculationTime 1.95842 seconds
EXP 5: iterations 22
EXP 5: [2/32] calculationTime 1.9584 seconds
EXP 5: [5/32] calculationTime 1.9584 seconds
EXP 5: [10/32] calculationTime 1.9584 seconds
EXP 5: [16/32] calculationTime 1.9584 seconds
EXP 5: [24/32] calculationTime 1.9584 seconds
EXP 5: [14/32] calculationTime 1.9584 seconds
EXP 5: [19/32] calculationTime 1.9584 seconds
EXP 5: [26/32] calculationTime 1.9584 seconds
EXP 5: [12/32] calculationTime 1.9584 seconds
EXP 5: [17/32] calculationTime 1.9584 seconds
EXP 5: [29/32] calculationTime 1.95839 seconds
EXP 5: [9/32] calculationTime 1.95839 seconds
EXP 5: [18/32] calculationTime 1.9584 seconds
EXP 5: [28/32] calculationTime 1.9584 seconds
EXP 5: [13/32] calculationTime 1.95839 seconds
EXP 5: [11/32] calculationTime 1.95839 seconds
EXP 5: [20/32] calculationTime 1.9584 seconds
EXP 5: [27/32] calculationTime 1.95839 seconds
EXP 5: [23/32] calculationTime 1.9584 seconds
EXP 5: [32/32] calculationTime 1.9584 seconds
EXP 5: [15/32] calculationTime 1.95839 seconds
EXP 5: [21/32] calculationTime 1.9584 seconds
EXP 5: [25/32] calculationTime 1.95839 seconds
EXP: [11/32] fullTime 58.1414 seconds
EXP: [5/32] fullTime 58.1421 seconds
EXP 5: writeTime 0.000889001 seconds
EXP: [7/32] fullTime 58.1421 seconds
EXP: [3/32] fullTime 58.1421 seconds
EXP 5: [22/32] calculationTime 1.9584 seconds
EXP 5: [31/32] calculationTime 1.95839 seconds
EXP: [2/32] fullTime 58.1423 seconds
EXP: [4/32] fullTime 58.1423 seconds
EXP: [6/32] fullTime 58.1423 seconds
EXP: [8/32] fullTime 58.1423 seconds
EXP: [18/32] fullTime 58.1414 seconds
EXP 5: [30/32] calculationTime 1.9584 seconds
EXP: [9/32] fullTime 58.1414 seconds
EXP: [22/32] fullTime 58.1414 seconds
EXP: [28/32] fullTime 58.1407 seconds
EXP: [13/32] fullTime 58.1414 seconds
EXP: [23/32] fullTime 58.1416 seconds
EXP: [27/32] fullTime 58.1407 seconds
EXP: [15/32] fullTime 58.1414 seconds
EXP: [1/32] fullTime 58.1427 seconds
EXP: [21/32] fullTime 58.1416 seconds
EXP: [32/32] fullTime 58.1406 seconds
EXP: [10/32] fullTime 58.1414 seconds
EXP: [24/32] fullTime 58.1413 seconds
EXP: [30/32] fullTime 58.1407 seconds
EXP: [16/32] fullTime 58.1414 seconds
EXP: [19/32] fullTime 58.1415 seconds
EXP: [31/32] fullTime 58.1408 seconds
EXP: [14/32] fullTime 58.1415 seconds
EXP: [17/32] fullTime 58.1414 seconds
EXP: [26/32] fullTime 58.1406 seconds
EXP: [12/32] fullTime 58.1415 seconds
EXP: [20/32] fullTime 58.1416 seconds
EXP: [29/32] fullTime 58.1407 seconds
EXP: [25/32] fullTime 58.1407 seconds

OK 1: result matches reference
OK 2: result matches reference
OK 3: result matches reference
OK 4: result matches reference
OK 5: result matches reference
