[3/64] Running on node112
[5/64] Running on node112
DESC: dir=/var/scratch/dbuurman/kmeans/size_25/clusters_4/dimension_4/seed_971 numMeans=4 convergenceDelta=0.0001 thresholdMultiplier=0
[1/64] Running on node112
[2/64] Running on node112
[7/64] Running on node112
[8/64] Running on node112
[4/64] Running on node112
[37/64] Running on node116
[6/64] Running on node112
[19/64] Running on node114
[39/64] Running on node116
[36/64] Running on node116
[9/64] Running on node113
[14/64] Running on node113
[17/64] Running on node114
[38/64] Running on node116
[18/64] Running on node114
[40/64] Running on node116
[10/64] Running on node113
[11/64] Running on node113
[21/64] Running on node114
[35/64] Running on node116
[22/64] Running on node114
[34/64] Running on node116
[49/64] Running on node118
[13/64] Running on node113
[16/64] Running on node113
[20/64] Running on node114
[33/64] Running on node116
[51/64] Running on node118
[23/64] Running on node114
[50/64] Running on node118
[27/64] Running on node115
[15/64] Running on node113
[56/64] Running on node118
[26/64] Running on node115
[12/64] Running on node113
[24/64] Running on node114
[46/64] Running on node117
[53/64] Running on node118
[31/64] Running on node115
[45/64] Running on node117
[55/64] Running on node118
[25/64] Running on node115
[47/64] Running on node117
[52/64] Running on node118
[28/64] Running on node115
[54/64] Running on node118
[29/64] Running on node115
[41/64] Running on node117
[30/64] Running on node115
[59/64] Running on node119
[42/64] Running on node117
[32/64] Running on node115
[61/64] Running on node119
[43/64] Running on node117
[57/64] Running on node119
[44/64] Running on node117
[63/64] Running on node119
[48/64] Running on node117
[58/64] Running on node119
[62/64] Running on node119
[64/64] Running on node119
[60/64] Running on node119

Reading file: /var/scratch/dbuurman/kmeans/size_25/clusters_4/dimension_4/seed_971/data.txt
EXP: readTime 23.0722 seconds
Detected 33554432 data points of dimension 4.


EXP 1: using seed 56059cd1
EXP 1: [47/64] calculationTime 0.246188 seconds
EXP 1: [50/64] calculationTime 0.246178 seconds
EXP 1: [27/64] calculationTime 0.246186 seconds
EXP 1: [11/64] calculationTime 0.246179 seconds
EXP 1: [24/64] calculationTime 0.246183 seconds
EXP 1: [62/64] calculationTime 0.246198 seconds
EXP 1: [34/64] calculationTime 0.246171 seconds
EXP 1: [41/64] calculationTime 0.246182 seconds
EXP 1: [54/64] calculationTime 0.246183 seconds
EXP 1: [25/64] calculationTime 0.246183 seconds
EXP 1: [9/64] calculationTime 0.246173 seconds
EXP 1: [19/64] calculationTime 0.246178 seconds
EXP 1: [60/64] calculationTime 0.246193 seconds
EXP 1: [35/64] calculationTime 0.246178 seconds
EXP 1: [42/64] calculationTime 0.246177 seconds
EXP 1: [51/64] calculationTime 0.246186 seconds
EXP 1: [28/64] calculationTime 0.246178 seconds
EXP 1: [16/64] calculationTime 0.246185 seconds
EXP 1: [17/64] calculationTime 0.246171 seconds
EXP 1: [61/64] calculationTime 0.246197 seconds
EXP 1: [40/64] calculationTime 0.246181 seconds
EXP 1: [43/64] calculationTime 0.246187 seconds
EXP 1: [49/64] calculationTime 0.24618 seconds
EXP 1: [29/64] calculationTime 0.246182 seconds
EXP 1: [13/64] calculationTime 0.246174 seconds
EXP 1: [63/64] calculationTime 0.246199 seconds
EXP 1: [39/64] calculationTime 0.246174 seconds
EXP 1: [46/64] calculationTime 0.246181 seconds
EXP 1: [55/64] calculationTime 0.246183 seconds
EXP 1: [26/64] calculationTime 0.246179 seconds
EXP 1: [12/64] calculationTime 0.24617 seconds
EXP 1: [64/64] calculationTime 0.246204 seconds
EXP 1: [45/64] calculationTime 0.246183 seconds
Stopping iterations due to convergence delta.
EXP 2: [1/64] calculationTime 0.213709 seconds
EXP 2: iterations 9
EXP 2: [7/64] calculationTime 0.213687 seconds
EXP 2: [5/64] calculationTime 0.213687 seconds
EXP 2: [6/64] calculationTime 0.213697 seconds
EXP 2: [8/64] calculationTime 0.213698 seconds
EXP 2: [3/64] calculationTime 0.213686 seconds
EXP 2: [4/64] calculationTime 0.213687 seconds
EXP 2: [2/64] calculationTime 0.213697 seconds
EXP 2: [23/64] calculationTime 0.213698 seconds
EXP 2: [22/64] calculationTime 0.213701 seconds
EXP 2: [51/64] calculationTime 0.2137 seconds
EXP 2: [10/64] calculationTime 0.213698 seconds
EXP 2: [18/64] calculationTime 0.2137 seconds
EXP 2: [63/64] calculationTime 0.213705 seconds
EXP 2: [38/64] calculationTime 0.213701 seconds
EXP 2: [45/64] calculationTime 0.213698 seconds
EXP 2: [49/64] calculationTime 0.213701 seconds
EXP 2: [27/64] calculationTime 0.213696 seconds
EXP 2: [15/64] calculationTime 0.213695 seconds
EXP 2: [21/64] calculationTime 0.2137 seconds
EXP 2: [62/64] calculationTime 0.213707 seconds
EXP 2: [36/64] calculationTime 0.21369 seconds
EXP 2: [48/64] calculationTime 0.2137 seconds
EXP 2: [50/64] calculationTime 0.213703 seconds
EXP 2: [25/64] calculationTime 0.213695 seconds
EXP 2: [11/64] calculationTime 0.213694 seconds
EXP 2: [20/64] calculationTime 0.213698 seconds
EXP 2: [59/64] calculationTime 0.213705 seconds
EXP 2: [37/64] calculationTime 0.21369 seconds
EXP 2: [47/64] calculationTime 0.213697 seconds
EXP 2: [56/64] calculationTime 0.213703 seconds
EXP 2: [28/64] calculationTime 0.213696 seconds
EXP 2: [9/64] calculationTime 0.213693 seconds
EXP 2: writeTime 0.000776 seconds
EXP 3: using seed aaacc5f8
EXP 2: [17/64] calculationTime 0.213698 seconds
EXP 2: [58/64] calculationTime 0.213707 seconds
EXP 2: [39/64] calculationTime 0.21369 seconds
EXP 2: [41/64] calculationTime 0.213696 seconds
EXP 2: [52/64] calculationTime 0.2137 seconds
EXP 2: [29/64] calculationTime 0.213695 seconds
EXP 2: [16/64] calculationTime 0.213697 seconds
EXP 2: [24/64] calculationTime 0.213701 seconds
EXP 2: [57/64] calculationTime 0.213704 seconds
EXP 2: [33/64] calculationTime 0.21369 seconds
EXP 2: [42/64] calculationTime 0.213701 seconds
EXP 2: [53/64] calculationTime 0.213703 seconds
EXP 2: [30/64] calculationTime 0.213698 seconds
EXP 2: [12/64] calculationTime 0.213695 seconds
EXP 2: [13/64] calculationTime 0.213694 seconds
EXP 2: [19/64] calculationTime 0.213698 seconds
EXP 2: [64/64] calculationTime 0.213707 seconds
EXP 2: [34/64] calculationTime 0.213701 seconds
EXP 2: [43/64] calculationTime 0.213698 seconds
EXP 2: [55/64] calculationTime 0.213701 seconds
EXP 2: [26/64] calculationTime 0.213697 seconds
EXP 2: [60/64] calculationTime 0.213706 seconds
EXP 2: [35/64] calculationTime 0.21369 seconds
EXP 2: [46/64] calculationTime 0.213701 seconds
EXP 2: [54/64] calculationTime 0.213704 seconds
EXP 2: [32/64] calculationTime 0.213697 seconds
EXP 2: [14/64] calculationTime 0.213698 seconds
EXP 2: [61/64] calculationTime 0.213706 seconds
EXP 2: [40/64] calculationTime 0.2137 seconds
EXP 2: [44/64] calculationTime 0.213699 seconds
EXP 2: [31/64] calculationTime 0.213695 seconds
Stopping iterations due to convergence delta.
EXP 3: [1/64] calculationTime 1.32302 seconds
EXP 3: iterations 83
EXP 3: [2/64] calculationTime 1.32299 seconds
EXP 3: [7/64] calculationTime 1.32299 seconds
EXP 3: [5/64] calculationTime 1.32299 seconds
EXP 3: [6/64] calculationTime 1.32299 seconds
EXP 3: [8/64] calculationTime 1.32299 seconds
EXP 3: [3/64] calculationTime 1.32299 seconds
EXP 3: [4/64] calculationTime 1.32299 seconds
EXP 3: [17/64] calculationTime 1.32299 seconds
EXP 3: [24/64] calculationTime 1.32299 seconds
EXP 3: [47/64] calculationTime 1.323 seconds
EXP 3: [50/64] calculationTime 1.32299 seconds
EXP 3: [25/64] calculationTime 1.323 seconds
EXP 3: [20/64] calculationTime 1.32299 seconds
EXP 3: [62/64] calculationTime 1.323 seconds
EXP 3: [36/64] calculationTime 1.32299 seconds
EXP 3: [41/64] calculationTime 1.323 seconds
EXP 3: [56/64] calculationTime 1.32299 seconds
EXP 3: [28/64] calculationTime 1.323 seconds
EXP 3: [12/64] calculationTime 1.323 seconds
EXP 3: [23/64] calculationTime 1.32299 seconds
EXP 3: [59/64] calculationTime 1.323 seconds
EXP 3: [40/64] calculationTime 1.32299 seconds
EXP 3: [42/64] calculationTime 1.323 seconds
EXP 3: [52/64] calculationTime 1.32299 seconds
EXP 3: [29/64] calculationTime 1.323 seconds
EXP 3: [13/64] calculationTime 1.323 seconds
EXP 3: [22/64] calculationTime 1.32299 seconds
EXP 3: [58/64] calculationTime 1.323 seconds
EXP 3: [39/64] calculationTime 1.323 seconds
EXP 3: [43/64] calculationTime 1.323 seconds
EXP 3: [54/64] calculationTime 1.32299 seconds
EXP 3: [31/64] calculationTime 1.323 seconds
EXP 3: [16/64] calculationTime 1.323 seconds
EXP 3: writeTime 0.000836 seconds
EXP 4: using seed a048c754
EXP 3: [18/64] calculationTime 1.32299 seconds
EXP 3: [61/64] calculationTime 1.323 seconds
EXP 3: [33/64] calculationTime 1.323 seconds
EXP 3: [46/64] calculationTime 1.323 seconds
EXP 3: [55/64] calculationTime 1.323 seconds
EXP 3: [26/64] calculationTime 1.323 seconds
EXP 3: [10/64] calculationTime 1.323 seconds
EXP 3: [21/64] calculationTime 1.32299 seconds
EXP 3: [64/64] calculationTime 1.323 seconds
EXP 3: [34/64] calculationTime 1.32299 seconds
EXP 3: [44/64] calculationTime 1.323 seconds
EXP 3: [53/64] calculationTime 1.323 seconds
EXP 3: [32/64] calculationTime 1.323 seconds
EXP 3: [15/64] calculationTime 1.323 seconds
EXP 3: [19/64] calculationTime 1.32299 seconds
EXP 3: [60/64] calculationTime 1.323 seconds
EXP 3: [35/64] calculationTime 1.323 seconds
EXP 3: [45/64] calculationTime 1.323 seconds
EXP 3: [51/64] calculationTime 1.323 seconds
EXP 3: [30/64] calculationTime 1.323 seconds
EXP 3: [11/64] calculationTime 1.323 seconds
EXP 3: [57/64] calculationTime 1.323 seconds
EXP 3: [37/64] calculationTime 1.323 seconds
EXP 3: [48/64] calculationTime 1.323 seconds
EXP 3: [49/64] calculationTime 1.323 seconds
EXP 3: [27/64] calculationTime 1.323 seconds
EXP 3: [9/64] calculationTime 1.323 seconds
EXP 3: [63/64] calculationTime 1.323 seconds
EXP 3: [38/64] calculationTime 1.32299 seconds
EXP 3: [14/64] calculationTime 1.323 seconds
Stopping iterations due to convergence delta.
EXP 4: [1/64] calculationTime 0.434919 seconds
EXP 4: iterations 26
EXP 4: [4/64] calculationTime 0.434895 seconds
EXP 4: [2/64] calculationTime 0.434895 seconds
EXP 4: [7/64] calculationTime 0.434895 seconds
EXP 4: [5/64] calculationTime 0.434895 seconds
EXP 4: [6/64] calculationTime 0.434895 seconds
EXP 4: [8/64] calculationTime 0.434895 seconds
EXP 4: [3/64] calculationTime 0.434894 seconds
EXP 4: [18/64] calculationTime 0.434897 seconds
EXP 4: [55/64] calculationTime 0.434899 seconds
EXP 4: [9/64] calculationTime 0.434897 seconds
EXP 4: [19/64] calculationTime 0.434897 seconds
EXP 4: [60/64] calculationTime 0.434903 seconds
EXP 4: [36/64] calculationTime 0.434898 seconds
EXP 4: [47/64] calculationTime 0.434899 seconds
EXP 4: [53/64] calculationTime 0.4349 seconds
EXP 4: [21/64] calculationTime 0.434897 seconds
EXP 4: [57/64] calculationTime 0.434901 seconds
EXP 4: [38/64] calculationTime 0.434899 seconds
EXP 4: [41/64] calculationTime 0.434898 seconds
EXP 4: [51/64] calculationTime 0.4349 seconds
EXP 4: [32/64] calculationTime 0.434902 seconds
EXP 4: [12/64] calculationTime 0.434898 seconds
EXP 4: [17/64] calculationTime 0.434897 seconds
EXP 4: [58/64] calculationTime 0.434903 seconds
EXP 4: [40/64] calculationTime 0.434898 seconds
EXP 4: [42/64] calculationTime 0.4349 seconds
EXP 4: [52/64] calculationTime 0.434901 seconds
EXP 4: [30/64] calculationTime 0.434902 seconds
EXP 4: [13/64] calculationTime 0.434897 seconds
EXP 4: writeTime 0.000728 seconds
EXP 5: using seed db847034
EXP 4: [24/64] calculationTime 0.434898 seconds
EXP 4: [62/64] calculationTime 0.434903 seconds
EXP 4: [39/64] calculationTime 0.434898 seconds
EXP 4: [43/64] calculationTime 0.434899 seconds
EXP 4: [50/64] calculationTime 0.434901 seconds
EXP 4: [29/64] calculationTime 0.4349 seconds
EXP 4: [16/64] calculationTime 0.434899 seconds
EXP 4: [20/64] calculationTime 0.434898 seconds
EXP 4: [59/64] calculationTime 0.434902 seconds
EXP 4: [33/64] calculationTime 0.434898 seconds
EXP 4: [48/64] calculationTime 0.434901 seconds
EXP 4: [56/64] calculationTime 0.434902 seconds
EXP 4: [25/64] calculationTime 0.4349 seconds
EXP 4: [10/64] calculationTime 0.434898 seconds
EXP 4: [23/64] calculationTime 0.434898 seconds
EXP 4: [63/64] calculationTime 0.434902 seconds
EXP 4: [34/64] calculationTime 0.434898 seconds
EXP 4: [44/64] calculationTime 0.4349 seconds
EXP 4: [49/64] calculationTime 0.4349 seconds
EXP 4: [28/64] calculationTime 0.434901 seconds
EXP 4: [15/64] calculationTime 0.434897 seconds
EXP 4: [22/64] calculationTime 0.434898 seconds
EXP 4: [61/64] calculationTime 0.434891 seconds
EXP 4: [35/64] calculationTime 0.434897 seconds
EXP 4: [45/64] calculationTime 0.434899 seconds
EXP 4: [54/64] calculationTime 0.434901 seconds
EXP 4: [27/64] calculationTime 0.434899 seconds
EXP 4: [11/64] calculationTime 0.434897 seconds
EXP 4: [64/64] calculationTime 0.434905 seconds
EXP 4: [37/64] calculationTime 0.434898 seconds
EXP 4: [46/64] calculationTime 0.4349 seconds
EXP 4: [31/64] calculationTime 0.434901 seconds
EXP 4: [14/64] calculationTime 0.434898 seconds
EXP 4: [26/64] calculationTime 0.4349 seconds
EXP 5: [7/64] calculationTime 0.61215 seconds
EXP 5: [5/64] calculationTime 0.61215 seconds
EXP 5: [6/64] calculationTime 0.612152 seconds
EXP 5: [8/64] calculationTime 0.612153 seconds
Stopping iterations due to convergence delta.
EXP 5: [1/64] calculationTime 0.612171 seconds
EXP 5: iterations 34
EXP 5: [3/64] calculationTime 0.612138 seconds
EXP 5: [4/64] calculationTime 0.612151 seconds
EXP 5: [2/64] calculationTime 0.612149 seconds
EXP: [7/64] fullTime 33.0227 seconds
EXP: [5/64] fullTime 33.0228 seconds
EXP: [3/64] fullTime 33.0229 seconds
EXP 5: [20/64] calculationTime 0.612153 seconds
EXP 5: [54/64] calculationTime 0.612154 seconds
EXP: [6/64] fullTime 33.0228 seconds
EXP: [4/64] fullTime 33.0228 seconds
EXP: [8/64] fullTime 33.0228 seconds
EXP: [2/64] fullTime 33.0229 seconds
EXP 5: [23/64] calculationTime 0.612151 seconds
EXP 5: [33/64] calculationTime 0.612153 seconds
EXP 5: [48/64] calculationTime 0.612154 seconds
EXP 5: [49/64] calculationTime 0.612153 seconds
EXP 5: [18/64] calculationTime 0.61215 seconds
EXP 5: [64/64] calculationTime 0.612155 seconds
EXP 5: [34/64] calculationTime 0.612153 seconds
EXP 5: [44/64] calculationTime 0.612139 seconds
EXP 5: [56/64] calculationTime 0.612156 seconds
EXP 5: [30/64] calculationTime 0.612154 seconds
EXP 5: [11/64] calculationTime 0.612138 seconds
EXP 5: [22/64] calculationTime 0.612152 seconds
EXP 5: [45/64] calculationTime 0.612152 seconds
EXP 5: [55/64] calculationTime 0.612152 seconds
EXP 5: [19/64] calculationTime 0.612142 seconds
EXP 5: [35/64] calculationTime 0.612139 seconds
EXP 5: [43/64] calculationTime 0.612138 seconds
EXP 5: [53/64] calculationTime 0.612153 seconds
EXP 5: writeTime 0.000783 seconds
EXP 5: [21/64] calculationTime 0.612151 seconds
EXP 5: [51/64] calculationTime 0.612142 seconds
EXP 5: [9/64] calculationTime 0.612151 seconds
EXP 5: [17/64] calculationTime 0.612151 seconds
EXP 5: [52/64] calculationTime 0.612156 seconds
EXP 5: [24/64] calculationTime 0.612153 seconds
EXP 5: [63/64] calculationTime 0.612153 seconds
EXP 5: [50/64] calculationTime 0.612153 seconds
EXP 5: [29/64] calculationTime 0.612153 seconds
EXP 5: [12/64] calculationTime 0.612139 seconds
EXP: [19/64] fullTime 33.0228 seconds
EXP 5: [47/64] calculationTime 0.612153 seconds
EXP: [49/64] fullTime 33.0224 seconds
EXP: [23/64] fullTime 33.0225 seconds
EXP 5: [61/64] calculationTime 0.612153 seconds
EXP: [53/64] fullTime 33.0222 seconds
EXP 5: [25/64] calculationTime 0.612152 seconds
EXP 5: [13/64] calculationTime 0.612152 seconds
EXP: [1/64] fullTime 33.0236 seconds
EXP: [18/64] fullTime 33.0229 seconds
EXP 5: [59/64] calculationTime 0.612141 seconds
EXP 5: [36/64] calculationTime 0.612154 seconds
EXP 5: [41/64] calculationTime 0.612153 seconds
EXP: [51/64] fullTime 33.0224 seconds
EXP 5: [26/64] calculationTime 0.612154 seconds
EXP 5: [16/64] calculationTime 0.612153 seconds
EXP: [20/64] fullTime 33.0227 seconds
EXP 5: [60/64] calculationTime 0.612143 seconds
EXP 5: [37/64] calculationTime 0.612153 seconds
EXP 5: [42/64] calculationTime 0.612154 seconds
EXP: [54/64] fullTime 33.0221 seconds
EXP 5: [27/64] calculationTime 0.612141 seconds
EXP 5: [10/64] calculationTime 0.612152 seconds
EXP: [22/64] fullTime 33.0228 seconds
EXP 5: [57/64] calculationTime 0.612153 seconds
EXP 5: [38/64] calculationTime 0.612154 seconds
EXP 5: [46/64] calculationTime 0.612154 seconds
EXP: [50/64] fullTime 33.0223 seconds
EXP 5: [31/64] calculationTime 0.612154 seconds
EXP 5: [15/64] calculationTime 0.612152 seconds
EXP: [24/64] fullTime 33.0226 seconds
EXP 5: [58/64] calculationTime 0.612155 seconds
EXP 5: [40/64] calculationTime 0.612154 seconds
EXP: [47/64] fullTime 33.022 seconds
EXP: [56/64] fullTime 33.0222 seconds
EXP 5: [28/64] calculationTime 0.612142 seconds
EXP 5: [14/64] calculationTime 0.612152 seconds
EXP: [21/64] fullTime 33.0228 seconds
EXP 5: [62/64] calculationTime 0.612155 seconds
EXP 5: [39/64] calculationTime 0.612152 seconds
EXP: [46/64] fullTime 33.0221 seconds
EXP: [55/64] fullTime 33.0223 seconds
EXP 5: [32/64] calculationTime 0.612155 seconds
EXP: [13/64] fullTime 33.0226 seconds
EXP: [17/64] fullTime 33.0228 seconds
EXP: [60/64] fullTime 33.0215 seconds
EXP: [36/64] fullTime 33.0228 seconds
EXP: [42/64] fullTime 33.022 seconds
EXP: [52/64] fullTime 33.0222 seconds
EXP: [31/64] fullTime 33.0221 seconds
EXP: [14/64] fullTime 33.0228 seconds
EXP: [57/64] fullTime 33.0217 seconds
EXP: [33/64] fullTime 33.0225 seconds
EXP: [48/64] fullTime 33.0219 seconds
EXP: [28/64] fullTime 33.0221 seconds
EXP: [15/64] fullTime 33.0224 seconds
EXP: [58/64] fullTime 33.0216 seconds
EXP: [34/64] fullTime 33.0225 seconds
EXP: [44/64] fullTime 33.0219 seconds
EXP: [25/64] fullTime 33.0222 seconds
EXP: [11/64] fullTime 33.0228 seconds
EXP: [62/64] fullTime 33.0216 seconds
EXP: [35/64] fullTime 33.0226 seconds
EXP: [45/64] fullTime 33.0221 seconds
EXP: [30/64] fullTime 33.022 seconds
EXP: [9/64] fullTime 33.0228 seconds
EXP: [64/64] fullTime 33.0215 seconds
EXP: [39/64] fullTime 33.0228 seconds
EXP: [43/64] fullTime 33.022 seconds
EXP: [29/64] fullTime 33.0221 seconds
EXP: [12/64] fullTime 33.0224 seconds
EXP: [32/64] fullTime 33.022 seconds
EXP: [16/64] fullTime 33.0226 seconds
EXP: [63/64] fullTime 33.0216 seconds
EXP: [37/64] fullTime 33.0229 seconds
EXP: [41/64] fullTime 33.0221 seconds
EXP: [61/64] fullTime 33.0218 seconds
EXP: [38/64] fullTime 33.0227 seconds
EXP: [26/64] fullTime 33.0222 seconds
EXP: [10/64] fullTime 33.0228 seconds
EXP: [59/64] fullTime 33.0218 seconds
EXP: [40/64] fullTime 33.0226 seconds
EXP: [27/64] fullTime 33.0223 seconds

OK 1: result matches reference
OK 2: result matches reference
OK 3: result matches reference
OK 4: result matches reference
OK 5: result matches reference
