[3/64] Running on node112
DESC: dir=/var/scratch/dbuurman/kmeans/size_27/clusters_4/dimension_4/seed_971 numMeans=4 convergenceDelta=0.0001 thresholdMultiplier=0
[1/64] Running on node112
[7/64] Running on node112
[5/64] Running on node112
[2/64] Running on node112
[6/64] Running on node112
[4/64] Running on node112
[8/64] Running on node112
[23/64] Running on node114
[22/64] Running on node114
[19/64] Running on node114
[33/64] Running on node116
[20/64] Running on node114
[9/64] Running on node113
[11/64] Running on node113
[34/64] Running on node116
[13/64] Running on node113
[14/64] Running on node113
[21/64] Running on node114
[18/64] Running on node114
[39/64] Running on node116
[10/64] Running on node113
[24/64] Running on node114
[49/64] Running on node118
[12/64] Running on node113
[17/64] Running on node114
[51/64] Running on node118
[16/64] Running on node113
[35/64] Running on node116
[15/64] Running on node113
[52/64] Running on node118
[53/64] Running on node118
[36/64] Running on node116
[25/64] Running on node115
[43/64] Running on node117
[50/64] Running on node118
[38/64] Running on node116
[37/64] Running on node116
[27/64] Running on node115
[45/64] Running on node117
[54/64] Running on node118
[26/64] Running on node115
[41/64] Running on node117
[55/64] Running on node118
[40/64] Running on node116
[29/64] Running on node115
[42/64] Running on node117
[56/64] Running on node118
[57/64] Running on node119
[31/64] Running on node115
[44/64] Running on node117
[61/64] Running on node119
[32/64] Running on node115
[46/64] Running on node117
[28/64] Running on node115
[48/64] Running on node117
[30/64] Running on node115
[47/64] Running on node117
[59/64] Running on node119
[58/64] Running on node119
[60/64] Running on node119
[62/64] Running on node119
[63/64] Running on node119
[64/64] Running on node119

Reading file: /var/scratch/dbuurman/kmeans/size_27/clusters_4/dimension_4/seed_971/data.txt
EXP: readTime 99.1118 seconds
Detected 134217728 data points of dimension 4.


EXP 1: using seed e47f1f12
EXP 1: [10/64] calculationTime 2.85129 seconds
EXP 1: [24/64] calculationTime 2.85129 seconds
EXP 1: [28/64] calculationTime 2.85129 seconds
EXP 1: [47/64] calculationTime 2.8513 seconds
EXP 1: [52/64] calculationTime 2.85129 seconds
EXP 1: [64/64] calculationTime 2.85129 seconds
EXP 1: [34/64] calculationTime 2.85129 seconds
EXP 1: [11/64] calculationTime 2.8513 seconds
EXP 1: [21/64] calculationTime 2.8513 seconds
EXP 1: [29/64] calculationTime 2.8513 seconds
EXP 1: [45/64] calculationTime 2.8513 seconds
EXP 1: [50/64] calculationTime 2.85129 seconds
EXP 1: [59/64] calculationTime 2.8513 seconds
EXP 1: [37/64] calculationTime 2.8513 seconds
EXP 1: [13/64] calculationTime 2.8513 seconds
EXP 1: writeTime 0.001272 seconds
EXP 2: using seed de0a925a
EXP 1: [61/64] calculationTime 2.8513 seconds
EXP 1: [40/64] calculationTime 2.85129 seconds
EXP 1: [16/64] calculationTime 2.85129 seconds
EXP 1: [22/64] calculationTime 2.85129 seconds
EXP 1: [31/64] calculationTime 2.8513 seconds
EXP 1: [41/64] calculationTime 2.8513 seconds
EXP 1: [54/64] calculationTime 2.85129 seconds
EXP 1: [19/64] calculationTime 2.8513 seconds
EXP 1: [30/64] calculationTime 2.85129 seconds
EXP 1: [42/64] calculationTime 2.85129 seconds
EXP 1: [55/64] calculationTime 2.8513 seconds
EXP 1: [58/64] calculationTime 2.85129 seconds
EXP 1: [12/64] calculationTime 2.85129 seconds
EXP 1: [43/64] calculationTime 2.8513 seconds
EXP 1: [15/64] calculationTime 2.8513 seconds
Stopping iterations due to convergence delta.
EXP 2: [1/64] calculationTime 0.808172 seconds
EXP 2: iterations 9
EXP 2: [3/64] calculationTime 0.808145 seconds
EXP 2: [5/64] calculationTime 0.808149 seconds
EXP 2: [6/64] calculationTime 0.808149 seconds
EXP 2: [7/64] calculationTime 0.808148 seconds
EXP 2: [2/64] calculationTime 0.808152 seconds
EXP 2: [8/64] calculationTime 0.808153 seconds
EXP 2: [4/64] calculationTime 0.808149 seconds
EXP 2: [59/64] calculationTime 0.808153 seconds
EXP 2: [36/64] calculationTime 0.808149 seconds
EXP 2: [21/64] calculationTime 0.808151 seconds
EXP 2: [25/64] calculationTime 0.808152 seconds
EXP 2: [55/64] calculationTime 0.808158 seconds
EXP 2: [61/64] calculationTime 0.808154 seconds
EXP 2: [34/64] calculationTime 0.808155 seconds
EXP 2: [9/64] calculationTime 0.80815 seconds
EXP 2: [22/64] calculationTime 0.808152 seconds
EXP 2: [32/64] calculationTime 0.808156 seconds
EXP 2: [47/64] calculationTime 0.808152 seconds
EXP 2: [56/64] calculationTime 0.80816 seconds
EXP 2: [63/64] calculationTime 0.808155 seconds
EXP 2: [40/64] calculationTime 0.808156 seconds
EXP 2: [10/64] calculationTime 0.808155 seconds
EXP 2: writeTime 0.000699999 seconds
EXP 3: using seed c5c8c2f1
EXP 2: [18/64] calculationTime 0.808155 seconds
EXP 2: [26/64] calculationTime 0.808158 seconds
EXP 2: [45/64] calculationTime 0.808157 seconds
EXP 2: [53/64] calculationTime 0.808152 seconds
EXP 2: [57/64] calculationTime 0.808154 seconds
EXP 2: [37/64] calculationTime 0.808149 seconds
EXP 2: [11/64] calculationTime 0.808155 seconds
EXP 2: [20/64] calculationTime 0.808152 seconds
EXP 2: [28/64] calculationTime 0.808159 seconds
EXP 2: [41/64] calculationTime 0.80815 seconds
EXP 2: [49/64] calculationTime 0.80815 seconds
EXP 2: [60/64] calculationTime 0.808162 seconds
EXP 2: [33/64] calculationTime 0.808147 seconds
EXP 2: [13/64] calculationTime 0.808155 seconds
EXP 2: [23/64] calculationTime 0.808156 seconds
EXP 2: [29/64] calculationTime 0.808151 seconds
EXP 2: [42/64] calculationTime 0.808158 seconds
EXP 2: [51/64] calculationTime 0.808151 seconds
EXP 2: [62/64] calculationTime 0.808162 seconds
EXP 2: [39/64] calculationTime 0.808149 seconds
EXP 2: [16/64] calculationTime 0.808152 seconds
EXP 2: [19/64] calculationTime 0.808148 seconds
EXP 2: [30/64] calculationTime 0.808159 seconds
EXP 2: [46/64] calculationTime 0.808159 seconds
EXP 2: [52/64] calculationTime 0.808153 seconds
EXP 2: [58/64] calculationTime 0.808161 seconds
EXP 2: [35/64] calculationTime 0.808147 seconds
EXP 2: [15/64] calculationTime 0.808152 seconds
EXP 2: [38/64] calculationTime 0.808149 seconds
EXP 2: [12/64] calculationTime 0.808156 seconds
EXP 2: [17/64] calculationTime 0.808149 seconds
EXP 2: [31/64] calculationTime 0.808154 seconds
EXP 2: [44/64] calculationTime 0.808158 seconds
EXP 2: [50/64] calculationTime 0.808159 seconds
EXP 2: [64/64] calculationTime 0.808156 seconds
EXP 2: [14/64] calculationTime 0.808156 seconds
EXP 2: [24/64] calculationTime 0.808156 seconds
EXP 2: [27/64] calculationTime 0.80815 seconds
EXP 2: [48/64] calculationTime 0.808152 seconds
EXP 2: [54/64] calculationTime 0.808153 seconds
EXP 2: [43/64] calculationTime 0.808157 seconds
EXP 3: [8/64] calculationTime 0.769389 seconds
EXP 3: [4/64] calculationTime 0.769398 seconds
EXP 3: [3/64] calculationTime 0.769397 seconds
EXP 3: [5/64] calculationTime 0.769379 seconds
EXP 3: [6/64] calculationTime 0.769389 seconds
EXP 3: [7/64] calculationTime 0.769397 seconds
EXP 3: [2/64] calculationTime 0.769389 seconds
Stopping iterations due to convergence delta.
EXP 3: [1/64] calculationTime 0.769399 seconds
EXP 3: iterations 8
EXP 3: [63/64] calculationTime 0.769404 seconds
EXP 3: [40/64] calculationTime 0.769392 seconds
EXP 3: [18/64] calculationTime 0.769391 seconds
EXP 3: [29/64] calculationTime 0.769402 seconds
EXP 3: [43/64] calculationTime 0.769393 seconds
EXP 3: [55/64] calculationTime 0.769402 seconds
EXP 3: [57/64] calculationTime 0.769404 seconds
EXP 3: [37/64] calculationTime 0.769381 seconds
EXP 3: [15/64] calculationTime 0.769391 seconds
EXP 3: writeTime 0.000670001 seconds
EXP 4: using seed 533c8819
EXP 3: [20/64] calculationTime 0.769393 seconds
EXP 3: [25/64] calculationTime 0.769401 seconds
EXP 3: [48/64] calculationTime 0.769404 seconds
EXP 3: [56/64] calculationTime 0.769404 seconds
EXP 3: [60/64] calculationTime 0.769406 seconds
EXP 3: [33/64] calculationTime 0.769381 seconds
EXP 3: [12/64] calculationTime 0.769391 seconds
EXP 3: [24/64] calculationTime 0.769403 seconds
EXP 3: [32/64] calculationTime 0.769404 seconds
EXP 3: [47/64] calculationTime 0.769393 seconds
EXP 3: [53/64] calculationTime 0.769392 seconds
EXP 3: [64/64] calculationTime 0.769407 seconds
EXP 3: [39/64] calculationTime 0.769401 seconds
EXP 3: [16/64] calculationTime 0.769402 seconds
EXP 3: [19/64] calculationTime 0.769399 seconds
EXP 3: [26/64] calculationTime 0.769393 seconds
EXP 3: [45/64] calculationTime 0.769392 seconds
EXP 3: [49/64] calculationTime 0.769393 seconds
EXP 3: [58/64] calculationTime 0.769397 seconds
EXP 3: [35/64] calculationTime 0.769399 seconds
EXP 3: [9/64] calculationTime 0.76939 seconds
EXP 3: [17/64] calculationTime 0.76939 seconds
EXP 3: [28/64] calculationTime 0.769404 seconds
EXP 3: [41/64] calculationTime 0.769392 seconds
EXP 3: [51/64] calculationTime 0.769401 seconds
EXP 3: [62/64] calculationTime 0.769397 seconds
EXP 3: [34/64] calculationTime 0.769392 seconds
EXP 3: [10/64] calculationTime 0.769391 seconds
EXP 3: [23/64] calculationTime 0.769401 seconds
EXP 3: [27/64] calculationTime 0.769402 seconds
EXP 3: [42/64] calculationTime 0.769392 seconds
EXP 3: [52/64] calculationTime 0.769395 seconds
EXP 3: [59/64] calculationTime 0.769404 seconds
EXP 3: [36/64] calculationTime 0.769402 seconds
EXP 3: [11/64] calculationTime 0.76939 seconds
EXP 3: [21/64] calculationTime 0.76939 seconds
EXP 3: [30/64] calculationTime 0.769395 seconds
EXP 3: [46/64] calculationTime 0.769403 seconds
EXP 3: [50/64] calculationTime 0.769394 seconds
EXP 3: [61/64] calculationTime 0.769404 seconds
EXP 3: [38/64] calculationTime 0.769392 seconds
EXP 3: [13/64] calculationTime 0.76939 seconds
EXP 3: [22/64] calculationTime 0.769391 seconds
EXP 3: [31/64] calculationTime 0.769402 seconds
EXP 3: [44/64] calculationTime 0.769394 seconds
EXP 3: [54/64] calculationTime 0.769394 seconds
EXP 3: [14/64] calculationTime 0.769401 seconds
EXP 4: [7/64] calculationTime 0.718865 seconds
Stopping iterations due to convergence delta.
EXP 4: [1/64] calculationTime 0.718882 seconds
EXP 4: iterations 8
EXP 4: [2/64] calculationTime 0.718865 seconds
EXP 4: [8/64] calculationTime 0.718864 seconds
EXP 4: [4/64] calculationTime 0.718859 seconds
EXP 4: [3/64] calculationTime 0.718863 seconds
EXP 4: [5/64] calculationTime 0.718863 seconds
EXP 4: [6/64] calculationTime 0.71887 seconds
EXP 4: [58/64] calculationTime 0.718879 seconds
EXP 4: [37/64] calculationTime 0.718864 seconds
EXP 4: [17/64] calculationTime 0.718865 seconds
EXP 4: [29/64] calculationTime 0.718868 seconds
EXP 4: [48/64] calculationTime 0.718877 seconds
EXP 4: [50/64] calculationTime 0.718868 seconds
EXP 4: [62/64] calculationTime 0.718879 seconds
EXP 4: [33/64] calculationTime 0.718863 seconds
EXP 4: [13/64] calculationTime 0.718866 seconds
EXP 4: [23/64] calculationTime 0.718867 seconds
EXP 4: [25/64] calculationTime 0.718868 seconds
EXP 4: [47/64] calculationTime 0.718875 seconds
EXP 4: [55/64] calculationTime 0.718868 seconds
EXP 4: [59/64] calculationTime 0.71887 seconds
EXP 4: [39/64] calculationTime 0.718865 seconds
EXP 4: [15/64] calculationTime 0.718872 seconds
EXP 4: writeTime 0.000763999 seconds
EXP 5: using seed 7f25695e
EXP 4: [21/64] calculationTime 0.718866 seconds
EXP 4: [32/64] calculationTime 0.718878 seconds
EXP 4: [45/64] calculationTime 0.718867 seconds
EXP 4: [56/64] calculationTime 0.718868 seconds
EXP 4: [60/64] calculationTime 0.718881 seconds
EXP 4: [35/64] calculationTime 0.718864 seconds
EXP 4: [12/64] calculationTime 0.718873 seconds
EXP 4: [20/64] calculationTime 0.718874 seconds
EXP 4: [26/64] calculationTime 0.718876 seconds
EXP 4: [41/64] calculationTime 0.718866 seconds
EXP 4: [53/64] calculationTime 0.718866 seconds
EXP 4: [63/64] calculationTime 0.718868 seconds
EXP 4: [34/64] calculationTime 0.718866 seconds
EXP 4: [16/64] calculationTime 0.718876 seconds
EXP 4: [18/64] calculationTime 0.718868 seconds
EXP 4: [31/64] calculationTime 0.718864 seconds
EXP 4: [42/64] calculationTime 0.718875 seconds
EXP 4: [49/64] calculationTime 0.718865 seconds
EXP 4: [57/64] calculationTime 0.718869 seconds
EXP 4: [38/64] calculationTime 0.718873 seconds
EXP 4: [9/64] calculationTime 0.718865 seconds
EXP 4: [22/64] calculationTime 0.718873 seconds
EXP 4: [27/64] calculationTime 0.718869 seconds
EXP 4: [46/64] calculationTime 0.718865 seconds
EXP 4: [51/64] calculationTime 0.718866 seconds
EXP 4: [61/64] calculationTime 0.718869 seconds
EXP 4: [36/64] calculationTime 0.718863 seconds
EXP 4: [10/64] calculationTime 0.718873 seconds
EXP 4: [24/64] calculationTime 0.718867 seconds
EXP 4: [30/64] calculationTime 0.718877 seconds
EXP 4: [44/64] calculationTime 0.718875 seconds
EXP 4: [52/64] calculationTime 0.718877 seconds
EXP 4: [64/64] calculationTime 0.718881 seconds
EXP 4: [40/64] calculationTime 0.718865 seconds
EXP 4: [11/64] calculationTime 0.718866 seconds
EXP 4: [19/64] calculationTime 0.718865 seconds
EXP 4: [28/64] calculationTime 0.718878 seconds
EXP 4: [43/64] calculationTime 0.718867 seconds
EXP 4: [54/64] calculationTime 0.718876 seconds
EXP 4: [14/64] calculationTime 0.718863 seconds
EXP 5: [8/64] calculationTime 0.882427 seconds
EXP 5: [4/64] calculationTime 0.882426 seconds
EXP 5: [3/64] calculationTime 0.882428 seconds
EXP 5: [5/64] calculationTime 0.882431 seconds
EXP 5: [7/64] calculationTime 0.882428 seconds
Stopping iterations due to convergence delta.
EXP 5: [1/64] calculationTime 0.88245 seconds
EXP 5: iterations 10
EXP 5: [6/64] calculationTime 0.882431 seconds
EXP 5: [2/64] calculationTime 0.882432 seconds
EXP 5: [64/64] calculationTime 0.882433 seconds
EXP 5: [19/64] calculationTime 0.882434 seconds
EXP 5: [31/64] calculationTime 0.882436 seconds
EXP 5: [42/64] calculationTime 0.882433 seconds
EXP 5: [49/64] calculationTime 0.882434 seconds
EXP 5: [61/64] calculationTime 0.88244 seconds
EXP 5: [39/64] calculationTime 0.88243 seconds
EXP 5: [11/64] calculationTime 0.882434 seconds
EXP 5: [22/64] calculationTime 0.882434 seconds
EXP 5: [27/64] calculationTime 0.882437 seconds
EXP 5: [43/64] calculationTime 0.882421 seconds
EXP 5: [51/64] calculationTime 0.882433 seconds
EXP 5: [57/64] calculationTime 0.882437 seconds
EXP 5: [35/64] calculationTime 0.88243 seconds
EXP 5: [13/64] calculationTime 0.882434 seconds
EXP 5: [24/64] calculationTime 0.882428 seconds
EXP 5: [30/64] calculationTime 0.882439 seconds
EXP 5: [44/64] calculationTime 0.882424 seconds
EXP 5: [54/64] calculationTime 0.882435 seconds
EXP 5: [58/64] calculationTime 0.882441 seconds
EXP 5: [40/64] calculationTime 0.882428 seconds
EXP 5: [15/64] calculationTime 0.882418 seconds
EXP: [3/64] fullTime 107.437 seconds
EXP 5: writeTime 0.000729 seconds
EXP 5: [18/64] calculationTime 0.882434 seconds
EXP 5: [26/64] calculationTime 0.882438 seconds
EXP 5: [46/64] calculationTime 0.882434 seconds
EXP 5: [52/64] calculationTime 0.882428 seconds
EXP 5: [62/64] calculationTime 0.882441 seconds
EXP 5: [38/64] calculationTime 0.88243 seconds
EXP 5: [12/64] calculationTime 0.88243 seconds
EXP: [2/64] fullTime 107.437 seconds
EXP: [6/64] fullTime 107.437 seconds
EXP: [7/64] fullTime 107.437 seconds
EXP: [8/64] fullTime 107.437 seconds
EXP: [4/64] fullTime 107.437 seconds
EXP: [5/64] fullTime 107.437 seconds
EXP 5: [59/64] calculationTime 0.88244 seconds
EXP 5: [36/64] calculationTime 0.882426 seconds
EXP 5: [16/64] calculationTime 0.882431 seconds
EXP 5: [17/64] calculationTime 0.882434 seconds
EXP 5: [29/64] calculationTime 0.882437 seconds
EXP 5: [48/64] calculationTime 0.882425 seconds
EXP 5: [50/64] calculationTime 0.882435 seconds
EXP 5: [25/64] calculationTime 0.882436 seconds
EXP 5: [47/64] calculationTime 0.88242 seconds
EXP 5: [55/64] calculationTime 0.882436 seconds
EXP 5: [60/64] calculationTime 0.882431 seconds
EXP 5: [34/64] calculationTime 0.882434 seconds
EXP 5: [9/64] calculationTime 0.882434 seconds
EXP 5: [23/64] calculationTime 0.882445 seconds
EXP 5: [21/64] calculationTime 0.882434 seconds
EXP 5: [32/64] calculationTime 0.882432 seconds
EXP 5: [45/64] calculationTime 0.882422 seconds
EXP 5: [56/64] calculationTime 0.882429 seconds
EXP 5: [63/64] calculationTime 0.882434 seconds
EXP 5: [37/64] calculationTime 0.88243 seconds
EXP 5: [10/64] calculationTime 0.882429 seconds
EXP: [1/64] fullTime 107.438 seconds
EXP 5: [20/64] calculationTime 0.882427 seconds
EXP 5: [28/64] calculationTime 0.88243 seconds
EXP 5: [41/64] calculationTime 0.882421 seconds
EXP 5: [53/64] calculationTime 0.882435 seconds
EXP: [57/64] fullTime 107.435 seconds
EXP 5: [33/64] calculationTime 0.882431 seconds
EXP 5: [14/64] calculationTime 0.882435 seconds
EXP: [24/64] fullTime 107.436 seconds
EXP: [29/64] fullTime 107.436 seconds
EXP: [44/64] fullTime 107.436 seconds
EXP: [56/64] fullTime 107.436 seconds
EXP: [59/64] fullTime 107.435 seconds
EXP: [37/64] fullTime 107.436 seconds
EXP: [15/64] fullTime 107.436 seconds
EXP: [18/64] fullTime 107.436 seconds
EXP: [31/64] fullTime 107.436 seconds
EXP: [48/64] fullTime 107.435 seconds
EXP: [51/64] fullTime 107.436 seconds
EXP: [63/64] fullTime 107.435 seconds
EXP: [35/64] fullTime 107.436 seconds
EXP: [12/64] fullTime 107.436 seconds
EXP: [19/64] fullTime 107.436 seconds
EXP: [27/64] fullTime 107.436 seconds
EXP: [47/64] fullTime 107.435 seconds
EXP: [49/64] fullTime 107.436 seconds
EXP: [58/64] fullTime 107.435 seconds
EXP: [22/64] fullTime 107.436 seconds
EXP: [30/64] fullTime 107.436 seconds
EXP: [42/64] fullTime 107.436 seconds
EXP: [53/64] fullTime 107.436 seconds
EXP: [62/64] fullTime 107.435 seconds
EXP: [9/64] fullTime 107.436 seconds
EXP: [20/64] fullTime 107.436 seconds
EXP: [26/64] fullTime 107.436 seconds
EXP: [43/64] fullTime 107.436 seconds
EXP: [52/64] fullTime 107.436 seconds
EXP: [60/64] fullTime 107.435 seconds
EXP: [39/64] fullTime 107.436 seconds
EXP: [11/64] fullTime 107.436 seconds
EXP: [17/64] fullTime 107.436 seconds
EXP: [28/64] fullTime 107.436 seconds
EXP: [41/64] fullTime 107.436 seconds
EXP: [50/64] fullTime 107.436 seconds
EXP: [64/64] fullTime 107.435 seconds
EXP: [40/64] fullTime 107.436 seconds
EXP: [13/64] fullTime 107.436 seconds
EXP: [38/64] fullTime 107.436 seconds
EXP: [10/64] fullTime 107.436 seconds
EXP: [23/64] fullTime 107.437 seconds
EXP: [25/64] fullTime 107.436 seconds
EXP: [46/64] fullTime 107.436 seconds
EXP: [55/64] fullTime 107.436 seconds
EXP: [61/64] fullTime 107.435 seconds
EXP: [21/64] fullTime 107.436 seconds
EXP: [32/64] fullTime 107.436 seconds
EXP: [45/64] fullTime 107.436 seconds
EXP: [54/64] fullTime 107.436 seconds
EXP: [36/64] fullTime 107.436 seconds
EXP: [14/64] fullTime 107.436 seconds
EXP: [34/64] fullTime 107.436 seconds
EXP: [16/64] fullTime 107.436 seconds
EXP: [33/64] fullTime 107.436 seconds

OK 1: result matches reference
OK 2: result matches reference
OK 3: result matches reference
OK 4: result matches reference
OK 5: result matches reference
