[2/64] Running on node101
[4/64] Running on node101
[5/64] Running on node101
DESC: dir=/var/scratch/dbuurman/kmeans/size_24/clusters_4/dimension_4/seed_971 numMeans=4 convergenceDelta=0.0001 thresholdMultiplier=0
[6/64] Running on node101
[7/64] Running on node101
[8/64] Running on node101
[3/64] Running on node101
[1/64] Running on node101
[17/64] Running on node103
[19/64] Running on node103
[18/64] Running on node103
[21/64] Running on node103
[23/64] Running on node103
[36/64] Running on node105
[20/64] Running on node103
[38/64] Running on node105
[22/64] Running on node103
[15/64] Running on node102
[24/64] Running on node103
[39/64] Running on node105
[9/64] Running on node102
[33/64] Running on node105
[34/64] Running on node105
[10/64] Running on node102
[11/64] Running on node102
[35/64] Running on node105
[12/64] Running on node102
[37/64] Running on node105
[43/64] Running on node106
[13/64] Running on node102
[49/64] Running on node107
[16/64] Running on node102
[27/64] Running on node104
[40/64] Running on node105
[41/64] Running on node106
[14/64] Running on node102
[29/64] Running on node104
[51/64] Running on node107
[42/64] Running on node106
[28/64] Running on node104
[53/64] Running on node107
[44/64] Running on node106
[30/64] Running on node104
[55/64] Running on node107
[46/64] Running on node106
[50/64] Running on node107
[48/64] Running on node106
[25/64] Running on node104
[52/64] Running on node107
[47/64] Running on node106
[26/64] Running on node104
[54/64] Running on node107
[45/64] Running on node106
[57/64] Running on node108
[32/64] Running on node104
[56/64] Running on node107
[59/64] Running on node108
[31/64] Running on node104
[61/64] Running on node108
[58/64] Running on node108
[60/64] Running on node108
[62/64] Running on node108
[63/64] Running on node108
[64/64] Running on node108

Reading file: /var/scratch/dbuurman/kmeans/size_24/clusters_4/dimension_4/seed_971/data.txt
EXP: readTime 12.5013 seconds
Detected 16777216 data points of dimension 4.


EXP 1: using seed a115c19
EXP 2: [62/64] calculationTime 0.102424 seconds
EXP 2: [16/64] calculationTime 0.102415 seconds
EXP 2: [25/64] calculationTime 0.10241 seconds
EXP 2: [55/64] calculationTime 0.102423 seconds
EXP 2: [37/64] calculationTime 0.102422 seconds
EXP 2: [19/64] calculationTime 0.10242 seconds
EXP 2: [41/64] calculationTime 0.102414 seconds
EXP 2: [63/64] calculationTime 0.102423 seconds
EXP 2: [13/64] calculationTime 0.102413 seconds
EXP 2: writeTime 0.000586 seconds
EXP 3: using seed f6d153af
EXP 2: [29/64] calculationTime 0.10242 seconds
EXP 2: [49/64] calculationTime 0.102419 seconds
EXP 2: [35/64] calculationTime 0.102415 seconds
EXP 2: [17/64] calculationTime 0.102418 seconds
EXP 2: [42/64] calculationTime 0.102416 seconds
EXP 2: [64/64] calculationTime 0.102425 seconds
EXP 2: [14/64] calculationTime 0.102414 seconds
EXP 2: [27/64] calculationTime 0.102421 seconds
EXP 2: [50/64] calculationTime 0.102413 seconds
EXP 2: [36/64] calculationTime 0.102414 seconds
EXP 2: [23/64] calculationTime 0.102421 seconds
EXP 2: [47/64] calculationTime 0.102417 seconds
EXP 2: [61/64] calculationTime 0.102422 seconds
EXP 2: [15/64] calculationTime 0.102415 seconds
EXP 2: [28/64] calculationTime 0.102413 seconds
EXP 2: [51/64] calculationTime 0.102422 seconds
EXP 2: [38/64] calculationTime 0.102415 seconds
EXP 2: [18/64] calculationTime 0.10241 seconds
EXP 2: [46/64] calculationTime 0.102417 seconds
EXP 2: [57/64] calculationTime 0.102413 seconds
EXP 2: [9/64] calculationTime 0.102412 seconds
EXP 2: [48/64] calculationTime 0.102418 seconds
EXP 2: [58/64] calculationTime 0.102415 seconds
EXP 2: [10/64] calculationTime 0.102414 seconds
EXP 2: [32/64] calculationTime 0.102424 seconds
EXP 2: [52/64] calculationTime 0.102417 seconds
EXP 2: [34/64] calculationTime 0.102413 seconds
EXP 2: [20/64] calculationTime 0.102416 seconds
EXP 2: [31/64] calculationTime 0.102422 seconds
EXP 2: [53/64] calculationTime 0.102422 seconds
EXP 2: [40/64] calculationTime 0.102415 seconds
EXP 2: [21/64] calculationTime 0.102421 seconds
EXP 2: [44/64] calculationTime 0.102417 seconds
EXP 2: [59/64] calculationTime 0.102422 seconds
EXP 2: [11/64] calculationTime 0.102414 seconds
EXP 2: [26/64] calculationTime 0.102412 seconds
EXP 2: [39/64] calculationTime 0.102415 seconds
EXP 2: [22/64] calculationTime 0.102417 seconds
EXP 2: [45/64] calculationTime 0.102416 seconds
EXP 2: [12/64] calculationTime 0.102414 seconds
EXP 2: [30/64] calculationTime 0.102422 seconds
EXP 2: [33/64] calculationTime 0.102411 seconds
Stopping iterations due to convergence delta.
EXP 3: [1/64] calculationTime 0.090179 seconds
EXP 3: iterations 8
EXP 3: [7/64] calculationTime 0.090154 seconds
EXP 3: [2/64] calculationTime 0.090163 seconds
EXP 3: [5/64] calculationTime 0.090156 seconds
EXP 3: [8/64] calculationTime 0.090158 seconds
EXP 3: [6/64] calculationTime 0.090157 seconds
EXP 3: [4/64] calculationTime 0.090154 seconds
EXP 3: [3/64] calculationTime 0.090164 seconds
EXP 3: [51/64] calculationTime 0.090167 seconds
EXP 3: [21/64] calculationTime 0.090166 seconds
EXP 3: [47/64] calculationTime 0.090169 seconds
EXP 3: [63/64] calculationTime 0.090171 seconds
EXP 3: [30/64] calculationTime 0.09017 seconds
EXP 3: [52/64] calculationTime 0.090159 seconds
EXP 3: [33/64] calculationTime 0.090157 seconds
EXP 3: [24/64] calculationTime 0.090168 seconds
EXP 3: [46/64] calculationTime 0.09017 seconds
EXP 3: [64/64] calculationTime 0.090175 seconds
EXP 3: [15/64] calculationTime 0.090166 seconds
EXP 3: [31/64] calculationTime 0.09017 seconds
EXP 3: [53/64] calculationTime 0.090168 seconds
EXP 3: [34/64] calculationTime 0.090166 seconds
EXP 3: [19/64] calculationTime 0.090166 seconds
EXP 3: [45/64] calculationTime 0.090168 seconds
EXP 3: [61/64] calculationTime 0.09017 seconds
EXP 3: [9/64] calculationTime 0.090165 seconds
EXP 3: writeTime 0.00069 seconds
EXP 4: using seed e460faae
EXP 3: [26/64] calculationTime 0.090169 seconds
EXP 3: [56/64] calculationTime 0.090172 seconds
EXP 3: [40/64] calculationTime 0.09016 seconds
EXP 3: [17/64] calculationTime 0.090159 seconds
EXP 3: [44/64] calculationTime 0.090169 seconds
EXP 3: [57/64] calculationTime 0.09017 seconds
EXP 3: [10/64] calculationTime 0.090167 seconds
EXP 3: [32/64] calculationTime 0.090172 seconds
EXP 3: [54/64] calculationTime 0.09017 seconds
EXP 3: [39/64] calculationTime 0.090157 seconds
EXP 3: [23/64] calculationTime 0.090157 seconds
EXP 3: [48/64] calculationTime 0.090172 seconds
EXP 3: [58/64] calculationTime 0.090172 seconds
EXP 3: [11/64] calculationTime 0.090156 seconds
EXP 3: [25/64] calculationTime 0.090168 seconds
EXP 3: [55/64] calculationTime 0.090159 seconds
EXP 3: [38/64] calculationTime 0.09016 seconds
EXP 3: [18/64] calculationTime 0.090166 seconds
EXP 3: [43/64] calculationTime 0.090157 seconds
EXP 3: [62/64] calculationTime 0.090174 seconds
EXP 3: [16/64] calculationTime 0.090169 seconds
EXP 3: [60/64] calculationTime 0.090172 seconds
EXP 3: [12/64] calculationTime 0.090167 seconds
EXP 3: [29/64] calculationTime 0.090169 seconds
EXP 3: [49/64] calculationTime 0.090159 seconds
EXP 3: [37/64] calculationTime 0.090159 seconds
EXP 3: [20/64] calculationTime 0.090157 seconds
EXP 3: [41/64] calculationTime 0.090168 seconds
EXP 3: [59/64] calculationTime 0.090159 seconds
EXP 3: [13/64] calculationTime 0.090165 seconds
EXP 3: [27/64] calculationTime 0.090158 seconds
EXP 3: [50/64] calculationTime 0.090169 seconds
EXP 3: [35/64] calculationTime 0.090165 seconds
EXP 3: [22/64] calculationTime 0.090168 seconds
EXP 3: [42/64] calculationTime 0.090169 seconds
EXP 3: [28/64] calculationTime 0.09017 seconds
EXP 3: [36/64] calculationTime 0.090157 seconds
EXP 3: [14/64] calculationTime 0.090167 seconds
EXP 4: [3/64] calculationTime 0.132896 seconds
EXP 4: [7/64] calculationTime 0.132905 seconds
EXP 4: [2/64] calculationTime 0.132907 seconds
EXP 4: [5/64] calculationTime 0.132906 seconds
EXP 4: [8/64] calculationTime 0.132908 seconds
EXP 4: [6/64] calculationTime 0.132907 seconds
EXP 4: [4/64] calculationTime 0.132907 seconds
Stopping iterations due to convergence delta.
EXP 4: [1/64] calculationTime 0.132915 seconds
EXP 4: iterations 8
EXP 4: [53/64] calculationTime 0.13291 seconds
EXP 4: [39/64] calculationTime 0.132907 seconds
EXP 4: [23/64] calculationTime 0.132907 seconds
EXP 4: [45/64] calculationTime 0.13291 seconds
EXP 4: [61/64] calculationTime 0.132912 seconds
EXP 4: writeTime 0.000566 seconds
EXP 4: [28/64] calculationTime 0.132913 seconds
EXP 4: [56/64] calculationTime 0.132913 seconds
EXP 4: [38/64] calculationTime 0.132909 seconds
EXP 4: [18/64] calculationTime 0.132909 seconds
EXP 4: [44/64] calculationTime 0.132911 seconds
EXP 4: [57/64] calculationTime 0.132912 seconds
EXP 4: [10/64] calculationTime 0.13291 seconds
EXP 5: using seed 96645a18
EXP 4: [30/64] calculationTime 0.132913 seconds
EXP 4: [54/64] calculationTime 0.132902 seconds
EXP 4: [37/64] calculationTime 0.132908 seconds
EXP 4: [22/64] calculationTime 0.132899 seconds
EXP 4: [48/64] calculationTime 0.132913 seconds
EXP 4: [58/64] calculationTime 0.132915 seconds
EXP 4: [11/64] calculationTime 0.132907 seconds
EXP 4: [31/64] calculationTime 0.132911 seconds
EXP 4: [55/64] calculationTime 0.132909 seconds
EXP 4: [35/64] calculationTime 0.132898 seconds
EXP 4: [20/64] calculationTime 0.132909 seconds
EXP 4: [43/64] calculationTime 0.132909 seconds
EXP 4: [62/64] calculationTime 0.132915 seconds
EXP 4: [14/64] calculationTime 0.13291 seconds
EXP 4: [26/64] calculationTime 0.132913 seconds
EXP 4: [49/64] calculationTime 0.1329 seconds
EXP 4: [36/64] calculationTime 0.132909 seconds
EXP 4: [21/64] calculationTime 0.132909 seconds
EXP 4: [41/64] calculationTime 0.132909 seconds
EXP 4: [59/64] calculationTime 0.132912 seconds
EXP 4: [12/64] calculationTime 0.13291 seconds
EXP 4: [32/64] calculationTime 0.132914 seconds
EXP 4: [52/64] calculationTime 0.132912 seconds
EXP 4: [33/64] calculationTime 0.132897 seconds
EXP 4: [24/64] calculationTime 0.13291 seconds
EXP 4: [46/64] calculationTime 0.132911 seconds
EXP 4: [60/64] calculationTime 0.132914 seconds
EXP 4: [13/64] calculationTime 0.132907 seconds
EXP 4: [25/64] calculationTime 0.132911 seconds
EXP 4: [51/64] calculationTime 0.1329 seconds
EXP 4: [34/64] calculationTime 0.132909 seconds
EXP 4: [19/64] calculationTime 0.132898 seconds
EXP 4: [47/64] calculationTime 0.13291 seconds
EXP 4: [63/64] calculationTime 0.132912 seconds
EXP 4: [16/64] calculationTime 0.13291 seconds
EXP 4: [29/64] calculationTime 0.132911 seconds
EXP 4: [50/64] calculationTime 0.132913 seconds
EXP 4: [40/64] calculationTime 0.13291 seconds
EXP 4: [17/64] calculationTime 0.132897 seconds
EXP 4: [42/64] calculationTime 0.132912 seconds
EXP 4: [64/64] calculationTime 0.132915 seconds
EXP 4: [15/64] calculationTime 0.132907 seconds
EXP 4: [27/64] calculationTime 0.132909 seconds
EXP 4: [9/64] calculationTime 0.132907 seconds
EXP 5: [6/64] calculationTime 0.10954 seconds
Stopping iterations due to convergence delta.
EXP 5: [1/64] calculationTime 0.109557 seconds
EXP 5: iterations 9
EXP 5: [4/64] calculationTime 0.109539 seconds
EXP 5: [3/64] calculationTime 0.109538 seconds
EXP 5: [7/64] calculationTime 0.10954 seconds
EXP 5: [2/64] calculationTime 0.10954 seconds
EXP 5: [5/64] calculationTime 0.10954 seconds
EXP 5: [8/64] calculationTime 0.10954 seconds
EXP 5: [41/64] calculationTime 0.109544 seconds
EXP 5: [30/64] calculationTime 0.109547 seconds
EXP 5: [54/64] calculationTime 0.109546 seconds
EXP 5: [19/64] calculationTime 0.109542 seconds
EXP 5: [46/64] calculationTime 0.109546 seconds
EXP 5: [59/64] calculationTime 0.109547 seconds
EXP: [3/64] fullTime 14.3716 seconds
EXP: [7/64] fullTime 14.3716 seconds
EXP 5: [31/64] calculationTime 0.109545 seconds
EXP 5: [55/64] calculationTime 0.109545 seconds
EXP 5: [40/64] calculationTime 0.109544 seconds
EXP 5: [18/64] calculationTime 0.109543 seconds
EXP 5: [42/64] calculationTime 0.109545 seconds
EXP 5: [60/64] calculationTime 0.109548 seconds
EXP 5: [14/64] calculationTime 0.109544 seconds
EXP: [8/64] fullTime 14.3718 seconds
EXP 5: writeTime 0.000615 seconds
EXP: [1/64] fullTime 14.372 seconds
EXP: [4/64] fullTime 14.3719 seconds
EXP: [2/64] fullTime 14.3719 seconds
EXP: [5/64] fullTime 14.3717 seconds
EXP: [6/64] fullTime 14.3718 seconds
EXP 5: [26/64] calculationTime 0.109546 seconds
EXP 5: [49/64] calculationTime 0.109543 seconds
EXP 5: [36/64] calculationTime 0.109542 seconds
EXP 5: [23/64] calculationTime 0.109542 seconds
EXP 5: [47/64] calculationTime 0.109544 seconds
EXP 5: [63/64] calculationTime 0.109547 seconds
EXP 5: [12/64] calculationTime 0.109543 seconds
EXP 5: [32/64] calculationTime 0.109548 seconds
EXP 5: [52/64] calculationTime 0.109544 seconds
EXP 5: [33/64] calculationTime 0.109542 seconds
EXP 5: [17/64] calculationTime 0.109541 seconds
EXP 5: [45/64] calculationTime 0.109544 seconds
EXP 5: [62/64] calculationTime 0.109548 seconds
EXP 5: [13/64] calculationTime 0.109541 seconds
EXP 5: [25/64] calculationTime 0.109545 seconds
EXP 5: [50/64] calculationTime 0.109545 seconds
EXP 5: [34/64] calculationTime 0.109543 seconds
EXP 5: [22/64] calculationTime 0.109544 seconds
EXP 5: [44/64] calculationTime 0.109545 seconds
EXP 5: [61/64] calculationTime 0.109547 seconds
EXP 5: [16/64] calculationTime 0.109544 seconds
EXP 5: [29/64] calculationTime 0.109545 seconds
EXP 5: [51/64] calculationTime 0.109543 seconds
EXP 5: [35/64] calculationTime 0.109541 seconds
EXP 5: [20/64] calculationTime 0.109541 seconds
EXP 5: [48/64] calculationTime 0.109547 seconds
EXP 5: [57/64] calculationTime 0.109547 seconds
EXP 5: [15/64] calculationTime 0.109542 seconds
EXP 5: [27/64] calculationTime 0.109544 seconds
EXP 5: [53/64] calculationTime 0.109544 seconds
EXP 5: [39/64] calculationTime 0.109542 seconds
EXP 5: [21/64] calculationTime 0.109543 seconds
EXP 5: [43/64] calculationTime 0.109543 seconds
EXP 5: [58/64] calculationTime 0.109548 seconds
EXP 5: [11/64] calculationTime 0.10954 seconds
EXP 5: [28/64] calculationTime 0.109545 seconds
EXP 5: [56/64] calculationTime 0.109547 seconds
EXP 5: [38/64] calculationTime 0.109543 seconds
EXP 5: [24/64] calculationTime 0.109544 seconds
EXP: [47/64] fullTime 14.3704 seconds
EXP 5: [64/64] calculationTime 0.109549 seconds
EXP 5: [10/64] calculationTime 0.109544 seconds
EXP: [31/64] fullTime 14.3702 seconds
EXP: [50/64] fullTime 14.3708 seconds
EXP 5: [37/64] calculationTime 0.109543 seconds
EXP: [19/64] fullTime 14.3712 seconds
EXP: [45/64] fullTime 14.3704 seconds
EXP: [59/64] fullTime 14.3701 seconds
EXP 5: [9/64] calculationTime 0.109543 seconds
EXP: [29/64] fullTime 14.3704 seconds
EXP: [51/64] fullTime 14.3708 seconds
EXP: [35/64] fullTime 14.3707 seconds
EXP: [17/64] fullTime 14.3713 seconds
EXP: [44/64] fullTime 14.3706 seconds
EXP: [58/64] fullTime 14.3699 seconds
EXP: [13/64] fullTime 14.3707 seconds
EXP: [30/64] fullTime 14.3704 seconds
EXP: [53/64] fullTime 14.3708 seconds
EXP: [38/64] fullTime 14.3711 seconds
EXP: [23/64] fullTime 14.3711 seconds
EXP: [48/64] fullTime 14.3704 seconds
EXP: [64/64] fullTime 14.3697 seconds
EXP: [16/64] fullTime 14.3707 seconds
EXP: [28/64] fullTime 14.3704 seconds
EXP: [52/64] fullTime 14.3706 seconds
EXP: [40/64] fullTime 14.3707 seconds
EXP: [22/64] fullTime 14.371 seconds
EXP: [46/64] fullTime 14.3705 seconds
EXP: [60/64] fullTime 14.3699 seconds
EXP: [15/64] fullTime 14.3711 seconds
EXP: [26/64] fullTime 14.3703 seconds
EXP: [54/64] fullTime 14.3706 seconds
EXP: [36/64] fullTime 14.3711 seconds
EXP: [41/64] fullTime 14.3706 seconds
EXP: [63/64] fullTime 14.3698 seconds
EXP: [11/64] fullTime 14.371 seconds
EXP: [32/64] fullTime 14.3703 seconds
EXP: [55/64] fullTime 14.3706 seconds
EXP: [34/64] fullTime 14.3708 seconds
EXP: [20/64] fullTime 14.371 seconds
EXP: [42/64] fullTime 14.3706 seconds
EXP: [62/64] fullTime 14.3698 seconds
EXP: [9/64] fullTime 14.3711 seconds
EXP: [25/64] fullTime 14.3704 seconds
EXP: [49/64] fullTime 14.3708 seconds
EXP: [33/64] fullTime 14.3709 seconds
EXP: [21/64] fullTime 14.3712 seconds
EXP: [43/64] fullTime 14.3708 seconds
EXP: [57/64] fullTime 14.37 seconds
EXP: [14/64] fullTime 14.3707 seconds
EXP: [27/64] fullTime 14.3706 seconds
EXP: [56/64] fullTime 14.3705 seconds
EXP: [37/64] fullTime 14.3707 seconds
EXP: [24/64] fullTime 14.371 seconds
EXP: [61/64] fullTime 14.3701 seconds
EXP: [12/64] fullTime 14.3708 seconds
EXP: [10/64] fullTime 14.3709 seconds
EXP: [39/64] fullTime 14.3709 seconds
EXP: [18/64] fullTime 14.3712 seconds

OK 1: result matches reference
OK 2: result matches reference
OK 3: result matches reference
OK 4: result matches reference
OK 5: result matches reference
