[3/64] Running on node101
[2/64] Running on node101
[5/64] Running on node101
[6/64] Running on node101
DESC: dir=/var/scratch/dbuurman/kmeans/size_26/clusters_4/dimension_4/seed_971 numMeans=4 convergenceDelta=0.0001 thresholdMultiplier=0
[1/64] Running on node101
[4/64] Running on node101
[8/64] Running on node101
[7/64] Running on node101
[18/64] Running on node103
[35/64] Running on node105
[22/64] Running on node103
[34/64] Running on node105
[11/64] Running on node102
[20/64] Running on node103
[40/64] Running on node105
[17/64] Running on node103
[37/64] Running on node105
[9/64] Running on node102
[12/64] Running on node102
[23/64] Running on node103
[36/64] Running on node105
[51/64] Running on node107
[21/64] Running on node103
[33/64] Running on node105
[49/64] Running on node107
[14/64] Running on node102
[15/64] Running on node102
[24/64] Running on node103
[38/64] Running on node105
[54/64] Running on node107
[19/64] Running on node103
[39/64] Running on node105
[43/64] Running on node106
[52/64] Running on node107
[10/64] Running on node102
[25/64] Running on node104
[45/64] Running on node106
[55/64] Running on node107
[16/64] Running on node102
[27/64] Running on node104
[44/64] Running on node106
[50/64] Running on node107
[13/64] Running on node102
[29/64] Running on node104
[46/64] Running on node106
[53/64] Running on node107
[30/64] Running on node104
[47/64] Running on node106
[56/64] Running on node107
[31/64] Running on node104
[41/64] Running on node106
[26/64] Running on node104
[42/64] Running on node106
[28/64] Running on node104
[48/64] Running on node106
[32/64] Running on node104
[57/64] Running on node108
[59/64] Running on node108
[61/64] Running on node108
[64/64] Running on node108
[58/64] Running on node108
[62/64] Running on node108
[63/64] Running on node108
[60/64] Running on node108

Reading file: /var/scratch/dbuurman/kmeans/size_26/clusters_4/dimension_4/seed_971/data.txt
EXP: readTime 46.0012 seconds
Detected 67108864 data points of dimension 4.


EXP 1: using seed 6bcaae14
EXP 1: [62/64] calculationTime 0.564964 seconds
EXP 1: [16/64] calculationTime 0.564948 seconds
EXP 1: [20/64] calculationTime 0.564937 seconds
EXP 1: [26/64] calculationTime 0.564947 seconds
EXP 1: writeTime 0.001112 seconds
EXP 1: [24/64] calculationTime 0.564943 seconds
EXP 1: [27/64] calculationTime 0.564942 seconds
EXP 1: [39/64] calculationTime 0.564948 seconds
EXP 1: [47/64] calculationTime 0.564945 seconds
EXP 1: [56/64] calculationTime 0.564951 seconds
EXP 1: [61/64] calculationTime 0.564949 seconds
EXP 1: [12/64] calculationTime 0.564944 seconds
EXP 2: using seed c82e88c2
EXP 1: [22/64] calculationTime 0.564939 seconds
EXP 1: [29/64] calculationTime 0.564938 seconds
EXP 1: [36/64] calculationTime 0.564951 seconds
EXP 1: [41/64] calculationTime 0.56494 seconds
EXP 1: [51/64] calculationTime 0.564938 seconds
EXP 1: [60/64] calculationTime 0.564959 seconds
EXP 1: [14/64] calculationTime 0.564944 seconds
EXP 1: [23/64] calculationTime 0.564929 seconds
EXP 1: [30/64] calculationTime 0.564955 seconds
EXP 1: [35/64] calculationTime 0.564944 seconds
EXP 1: [45/64] calculationTime 0.564941 seconds
EXP 1: [55/64] calculationTime 0.564938 seconds
EXP 1: [64/64] calculationTime 0.564956 seconds
EXP 1: [10/64] calculationTime 0.564935 seconds
EXP 1: [18/64] calculationTime 0.564935 seconds
EXP 1: [28/64] calculationTime 0.56495 seconds
EXP 1: [37/64] calculationTime 0.564939 seconds
EXP 1: [57/64] calculationTime 0.564951 seconds
EXP 1: [13/64] calculationTime 0.564933 seconds
EXP 2: [4/64] calculationTime 0.730238 seconds
EXP 2: [6/64] calculationTime 0.730239 seconds
EXP 2: [3/64] calculationTime 0.730233 seconds
EXP 2: [7/64] calculationTime 0.730233 seconds
EXP 2: [2/64] calculationTime 0.730238 seconds
EXP 2: [5/64] calculationTime 0.730235 seconds
EXP 2: [8/64] calculationTime 0.730237 seconds
Stopping iterations due to convergence delta.
EXP 2: [1/64] calculationTime 0.730256 seconds
EXP 2: iterations 17
EXP 2: [53/64] calculationTime 0.730235 seconds
EXP 2: [37/64] calculationTime 0.730235 seconds
EXP 2: [41/64] calculationTime 0.730234 seconds
EXP 2: [54/64] calculationTime 0.73024 seconds
EXP 2: [64/64] calculationTime 0.730244 seconds
EXP 2: [20/64] calculationTime 0.73024 seconds
EXP 2: [30/64] calculationTime 0.730243 seconds
EXP 2: [39/64] calculationTime 0.730234 seconds
EXP 2: [42/64] calculationTime 0.730242 seconds
EXP 2: [50/64] calculationTime 0.730241 seconds
EXP 2: [61/64] calculationTime 0.730236 seconds
EXP 2: [16/64] calculationTime 0.73024 seconds
EXP 2: [24/64] calculationTime 0.730242 seconds
EXP 2: [28/64] calculationTime 0.730242 seconds
EXP 2: [36/64] calculationTime 0.730241 seconds
EXP 2: [43/64] calculationTime 0.730234 seconds
EXP 2: [49/64] calculationTime 0.730236 seconds
EXP 2: [63/64] calculationTime 0.730234 seconds
EXP 2: [12/64] calculationTime 0.730241 seconds
EXP 2: [22/64] calculationTime 0.73024 seconds
EXP 2: [32/64] calculationTime 0.730242 seconds
EXP 2: [35/64] calculationTime 0.730234 seconds
EXP 2: [44/64] calculationTime 0.730243 seconds
EXP 2: [52/64] calculationTime 0.730242 seconds
EXP 2: [59/64] calculationTime 0.730235 seconds
EXP 2: [14/64] calculationTime 0.73024 seconds
EXP 2: [23/64] calculationTime 0.730234 seconds
EXP 2: [31/64] calculationTime 0.730234 seconds
EXP 2: [34/64] calculationTime 0.730242 seconds
EXP 2: [46/64] calculationTime 0.730241 seconds
EXP 2: [55/64] calculationTime 0.730235 seconds
EXP 2: [58/64] calculationTime 0.730244 seconds
EXP 2: [13/64] calculationTime 0.730236 seconds
EXP 2: writeTime 0.00083 seconds
EXP 2: [21/64] calculationTime 0.730235 seconds
EXP 2: [25/64] calculationTime 0.730236 seconds
EXP 2: [40/64] calculationTime 0.730241 seconds
EXP 2: [45/64] calculationTime 0.730235 seconds
EXP 2: [56/64] calculationTime 0.730242 seconds
EXP 2: [62/64] calculationTime 0.730243 seconds
EXP 2: [10/64] calculationTime 0.730239 seconds
EXP 3: using seed 510ac00a
EXP 2: [51/64] calculationTime 0.730233 seconds
EXP 2: [57/64] calculationTime 0.730236 seconds
EXP 2: [11/64] calculationTime 0.730233 seconds
EXP 2: [17/64] calculationTime 0.730236 seconds
EXP 2: [26/64] calculationTime 0.730242 seconds
EXP 2: [33/64] calculationTime 0.730235 seconds
EXP 2: [48/64] calculationTime 0.730241 seconds
EXP 2: [18/64] calculationTime 0.73024 seconds
EXP 2: [27/64] calculationTime 0.730235 seconds
EXP 2: [38/64] calculationTime 0.730242 seconds
EXP 2: [47/64] calculationTime 0.730233 seconds
EXP 2: [60/64] calculationTime 0.730243 seconds
EXP 2: [15/64] calculationTime 0.730234 seconds
EXP 2: [19/64] calculationTime 0.730233 seconds
EXP 2: [29/64] calculationTime 0.730235 seconds
EXP 2: [9/64] calculationTime 0.730235 seconds
EXP 3: [8/64] calculationTime 0.717302 seconds
EXP 3: [4/64] calculationTime 0.717291 seconds
EXP 3: [6/64] calculationTime 0.717301 seconds
EXP 3: [3/64] calculationTime 0.717301 seconds
EXP 3: [7/64] calculationTime 0.717301 seconds
EXP 3: [2/64] calculationTime 0.717292 seconds
EXP 3: [5/64] calculationTime 0.717299 seconds
Stopping iterations due to convergence delta.
EXP 3: [1/64] calculationTime 0.717326 seconds
EXP 3: iterations 21
EXP 3: [42/64] calculationTime 0.717305 seconds
EXP 3: [55/64] calculationTime 0.717303 seconds
EXP 3: [43/64] calculationTime 0.717302 seconds
EXP 3: [57/64] calculationTime 0.717303 seconds
EXP 3: [23/64] calculationTime 0.717302 seconds
EXP 3: [32/64] calculationTime 0.717306 seconds
EXP 3: [35/64] calculationTime 0.717302 seconds
EXP 3: [44/64] calculationTime 0.717305 seconds
EXP 3: [56/64] calculationTime 0.717296 seconds
EXP 3: [62/64] calculationTime 0.717307 seconds
EXP 3: [9/64] calculationTime 0.717301 seconds
EXP 3: [21/64] calculationTime 0.717301 seconds
EXP 3: [31/64] calculationTime 0.717303 seconds
EXP 3: [34/64] calculationTime 0.717292 seconds
EXP 3: [47/64] calculationTime 0.717302 seconds
EXP 3: [52/64] calculationTime 0.717295 seconds
EXP 3: [64/64] calculationTime 0.717307 seconds
EXP 3: [13/64] calculationTime 0.717302 seconds
EXP 3: [19/64] calculationTime 0.717302 seconds
EXP 3: [25/64] calculationTime 0.717303 seconds
EXP 3: [40/64] calculationTime 0.717303 seconds
EXP 3: [45/64] calculationTime 0.717302 seconds
EXP 3: [53/64] calculationTime 0.717301 seconds
EXP 3: [61/64] calculationTime 0.717302 seconds
EXP 3: [10/64] calculationTime 0.717303 seconds
EXP 3: [18/64] calculationTime 0.717294 seconds
EXP 3: [26/64] calculationTime 0.717305 seconds
EXP 3: [33/64] calculationTime 0.717301 seconds
EXP 3: [48/64] calculationTime 0.717305 seconds
EXP 3: [54/64] calculationTime 0.717296 seconds
EXP 3: [63/64] calculationTime 0.717303 seconds
EXP 3: [11/64] calculationTime 0.717302 seconds
EXP 3: writeTime 0.000784 seconds
EXP 3: [17/64] calculationTime 0.7173 seconds
EXP 3: [27/64] calculationTime 0.717303 seconds
EXP 3: [38/64] calculationTime 0.717302 seconds
EXP 3: [46/64] calculationTime 0.717305 seconds
EXP 3: [50/64] calculationTime 0.717294 seconds
EXP 3: [59/64] calculationTime 0.717303 seconds
EXP 3: [15/64] calculationTime 0.717302 seconds
EXP 4: using seed 6875a8dc
EXP 3: [58/64] calculationTime 0.717307 seconds
EXP 3: [14/64] calculationTime 0.717304 seconds
EXP 3: [20/64] calculationTime 0.717294 seconds
EXP 3: [30/64] calculationTime 0.717305 seconds
EXP 3: [37/64] calculationTime 0.717302 seconds
EXP 3: [41/64] calculationTime 0.717302 seconds
EXP 3: [49/64] calculationTime 0.717302 seconds
EXP 3: [60/64] calculationTime 0.717307 seconds
EXP 3: [16/64] calculationTime 0.717304 seconds
EXP 3: [24/64] calculationTime 0.717293 seconds
EXP 3: [29/64] calculationTime 0.717302 seconds
EXP 3: [39/64] calculationTime 0.717302 seconds
EXP 3: [51/64] calculationTime 0.717302 seconds
EXP 3: [22/64] calculationTime 0.717293 seconds
EXP 3: [28/64] calculationTime 0.717305 seconds
EXP 3: [36/64] calculationTime 0.717292 seconds
EXP 3: [12/64] calculationTime 0.717303 seconds
EXP 4: [5/64] calculationTime 0.345734 seconds
EXP 4: [8/64] calculationTime 0.345739 seconds
EXP 4: [4/64] calculationTime 0.345739 seconds
EXP 4: [6/64] calculationTime 0.345739 seconds
EXP 4: [3/64] calculationTime 0.345734 seconds
EXP 4: [7/64] calculationTime 0.345734 seconds
EXP 4: [2/64] calculationTime 0.345738 seconds
Stopping iterations due to convergence delta.
EXP 4: [1/64] calculationTime 0.345758 seconds
EXP 4: iterations 8
EXP 4: [48/64] calculationTime 0.345739 seconds
EXP 4: [50/64] calculationTime 0.34574 seconds
EXP 4: [46/64] calculationTime 0.345739 seconds
EXP 4: [51/64] calculationTime 0.345735 seconds
EXP 4: [59/64] calculationTime 0.345735 seconds
EXP 4: [19/64] calculationTime 0.345735 seconds
EXP 4: [25/64] calculationTime 0.345736 seconds
EXP 4: [36/64] calculationTime 0.345739 seconds
EXP 4: [44/64] calculationTime 0.345739 seconds
EXP 4: [49/64] calculationTime 0.345735 seconds
EXP 4: [60/64] calculationTime 0.34574 seconds
EXP 4: [12/64] calculationTime 0.345739 seconds
EXP 4: [18/64] calculationTime 0.345739 seconds
EXP 4: [26/64] calculationTime 0.34574 seconds
EXP 4: [38/64] calculationTime 0.345739 seconds
EXP 4: [42/64] calculationTime 0.345739 seconds
EXP 4: [55/64] calculationTime 0.345735 seconds
EXP 4: [58/64] calculationTime 0.34574 seconds
EXP 4: [9/64] calculationTime 0.345735 seconds
EXP 4: [17/64] calculationTime 0.345735 seconds
EXP 4: [27/64] calculationTime 0.345736 seconds
EXP 4: [37/64] calculationTime 0.345735 seconds
EXP 4: [43/64] calculationTime 0.345735 seconds
EXP 4: [56/64] calculationTime 0.34574 seconds
EXP 4: [57/64] calculationTime 0.345736 seconds
EXP 4: [13/64] calculationTime 0.345735 seconds
EXP 4: [20/64] calculationTime 0.345739 seconds
EXP 4: [28/64] calculationTime 0.34574 seconds
EXP 4: [39/64] calculationTime 0.345734 seconds
EXP 4: [41/64] calculationTime 0.345735 seconds
EXP 4: [52/64] calculationTime 0.345741 seconds
EXP 4: [62/64] calculationTime 0.34574 seconds
EXP 4: [10/64] calculationTime 0.345739 seconds
EXP 4: [24/64] calculationTime 0.34574 seconds
EXP 4: [29/64] calculationTime 0.345736 seconds
EXP 4: [33/64] calculationTime 0.345735 seconds
EXP 4: [47/64] calculationTime 0.345735 seconds
EXP 4: [53/64] calculationTime 0.345735 seconds
EXP 4: [64/64] calculationTime 0.34574 seconds
EXP 4: [11/64] calculationTime 0.345735 seconds
EXP 4: writeTime 0.000796 seconds
EXP 5: using seed e9156885
EXP 4: [21/64] calculationTime 0.345735 seconds
EXP 4: [30/64] calculationTime 0.34574 seconds
EXP 4: [35/64] calculationTime 0.345735 seconds
EXP 4: [45/64] calculationTime 0.345735 seconds
EXP 4: [54/64] calculationTime 0.34574 seconds
EXP 4: [61/64] calculationTime 0.345736 seconds
EXP 4: [15/64] calculationTime 0.345735 seconds
EXP 4: [23/64] calculationTime 0.345735 seconds
EXP 4: [32/64] calculationTime 0.34574 seconds
EXP 4: [34/64] calculationTime 0.34574 seconds
EXP 4: [63/64] calculationTime 0.345736 seconds
EXP 4: [14/64] calculationTime 0.345739 seconds
EXP 4: [22/64] calculationTime 0.345739 seconds
EXP 4: [31/64] calculationTime 0.345735 seconds
EXP 4: [40/64] calculationTime 0.345739 seconds
EXP 4: [16/64] calculationTime 0.345739 seconds
EXP 5: [2/64] calculationTime 0.392629 seconds
EXP 5: [5/64] calculationTime 0.392629 seconds
EXP 5: [8/64] calculationTime 0.39263 seconds
EXP 5: [4/64] calculationTime 0.392631 seconds
EXP 5: [6/64] calculationTime 0.39263 seconds
EXP 5: [3/64] calculationTime 0.392629 seconds
EXP 5: [7/64] calculationTime 0.392629 seconds
Stopping iterations due to convergence delta.
EXP 5: [1/64] calculationTime 0.392657 seconds
EXP 5: iterations 9
EXP 5: [52/64] calculationTime 0.392634 seconds
EXP: [7/64] fullTime 56.5332 seconds
EXP: [2/64] fullTime 56.5337 seconds
EXP: [5/64] fullTime 56.5336 seconds
EXP: [8/64] fullTime 56.5334 seconds
EXP: [4/64] fullTime 56.5334 seconds
EXP: [6/64] fullTime 56.5334 seconds
EXP: [3/64] fullTime 56.5337 seconds
EXP 5: [36/64] calculationTime 0.392632 seconds
EXP 5: [45/64] calculationTime 0.392632 seconds
EXP 5: [53/64] calculationTime 0.392632 seconds
EXP 5: [64/64] calculationTime 0.392637 seconds
EXP 5: [13/64] calculationTime 0.392631 seconds
EXP 5: [24/64] calculationTime 0.392632 seconds
EXP 5: [28/64] calculationTime 0.392635 seconds
EXP 5: [38/64] calculationTime 0.392632 seconds
EXP 5: [41/64] calculationTime 0.392631 seconds
EXP 5: [50/64] calculationTime 0.392634 seconds
EXP 5: [61/64] calculationTime 0.392632 seconds
EXP 5: [10/64] calculationTime 0.392632 seconds
EXP 5: writeTime 0.000826 seconds
EXP: [1/64] fullTime 56.5341 seconds
EXP 5: [21/64] calculationTime 0.392631 seconds
EXP 5: [29/64] calculationTime 0.392633 seconds
EXP 5: [37/64] calculationTime 0.392631 seconds
EXP 5: [47/64] calculationTime 0.392632 seconds
EXP 5: [54/64] calculationTime 0.392634 seconds
EXP 5: [59/64] calculationTime 0.392632 seconds
EXP 5: [11/64] calculationTime 0.392631 seconds
EXP 5: [22/64] calculationTime 0.392631 seconds
EXP 5: [30/64] calculationTime 0.392635 seconds
EXP 5: [39/64] calculationTime 0.392631 seconds
EXP 5: [43/64] calculationTime 0.392632 seconds
EXP 5: [51/64] calculationTime 0.392632 seconds
EXP 5: [63/64] calculationTime 0.392632 seconds
EXP 5: [15/64] calculationTime 0.392631 seconds
EXP 5: [23/64] calculationTime 0.392631 seconds
EXP 5: [32/64] calculationTime 0.392636 seconds
EXP 5: [33/64] calculationTime 0.392631 seconds
EXP 5: [48/64] calculationTime 0.392635 seconds
EXP 5: [49/64] calculationTime 0.392632 seconds
EXP 5: [60/64] calculationTime 0.392637 seconds
EXP 5: [14/64] calculationTime 0.392632 seconds
EXP 5: [19/64] calculationTime 0.39263 seconds
EXP 5: [27/64] calculationTime 0.392632 seconds
EXP 5: [35/64] calculationTime 0.392631 seconds
EXP 5: [46/64] calculationTime 0.392633 seconds
EXP 5: [55/64] calculationTime 0.392631 seconds
EXP 5: [58/64] calculationTime 0.392637 seconds
EXP 5: [16/64] calculationTime 0.392633 seconds
EXP 5: [18/64] calculationTime 0.392632 seconds
EXP 5: [25/64] calculationTime 0.392632 seconds
EXP 5: [34/64] calculationTime 0.392631 seconds
EXP 5: [44/64] calculationTime 0.392634 seconds
EXP 5: [56/64] calculationTime 0.392634 seconds
EXP 5: [57/64] calculationTime 0.392632 seconds
EXP 5: [12/64] calculationTime 0.392633 seconds
EXP 5: [17/64] calculationTime 0.392631 seconds
EXP 5: [26/64] calculationTime 0.392634 seconds
EXP 5: [40/64] calculationTime 0.392633 seconds
EXP 5: [42/64] calculationTime 0.392633 seconds
EXP: [49/64] fullTime 56.5329 seconds
EXP 5: [62/64] calculationTime 0.392636 seconds
EXP 5: [9/64] calculationTime 0.392631 seconds
EXP 5: [20/64] calculationTime 0.392632 seconds
EXP 5: [31/64] calculationTime 0.392632 seconds
EXP: [38/64] fullTime 56.533 seconds
EXP: [47/64] fullTime 56.5323 seconds
EXP: [54/64] fullTime 56.5328 seconds
EXP: [59/64] fullTime 56.5319 seconds
EXP: [9/64] fullTime 56.533 seconds
EXP: [23/64] fullTime 56.5331 seconds
EXP: [32/64] fullTime 56.5323 seconds
EXP: [37/64] fullTime 56.5331 seconds
EXP: [43/64] fullTime 56.5325 seconds
EXP: [51/64] fullTime 56.5329 seconds
EXP: [61/64] fullTime 56.5318 seconds
EXP: [16/64] fullTime 56.5329 seconds
EXP: [19/64] fullTime 56.5329 seconds
EXP: [27/64] fullTime 56.5326 seconds
EXP: [39/64] fullTime 56.5329 seconds
EXP: [48/64] fullTime 56.5322 seconds
EXP: [56/64] fullTime 56.5325 seconds
EXP: [63/64] fullTime 56.5316 seconds
EXP: [12/64] fullTime 56.533 seconds
EXP: [18/64] fullTime 56.5333 seconds
EXP: [31/64] fullTime 56.5324 seconds
EXP: [33/64] fullTime 56.533 seconds
EXP: [46/64] fullTime 56.5324 seconds
EXP: [55/64] fullTime 56.5327 seconds
EXP: [60/64] fullTime 56.5316 seconds
EXP: [14/64] fullTime 56.5329 seconds
EXP: [17/64] fullTime 56.5331 seconds
EXP: [26/64] fullTime 56.5324 seconds
EXP: [35/64] fullTime 56.5333 seconds
EXP: [44/64] fullTime 56.5324 seconds
EXP: [50/64] fullTime 56.5328 seconds
EXP: [58/64] fullTime 56.5316 seconds
EXP: [13/64] fullTime 56.5327 seconds
EXP: [21/64] fullTime 56.5331 seconds
EXP: [28/64] fullTime 56.5323 seconds
EXP: [40/64] fullTime 56.5331 seconds
EXP: [42/64] fullTime 56.5322 seconds
EXP: [52/64] fullTime 56.5328 seconds
EXP: [57/64] fullTime 56.5319 seconds
EXP: [10/64] fullTime 56.5329 seconds
EXP: [53/64] fullTime 56.5326 seconds
EXP: [62/64] fullTime 56.5316 seconds
EXP: [11/64] fullTime 56.5332 seconds
EXP: [24/64] fullTime 56.5329 seconds
EXP: [29/64] fullTime 56.5324 seconds
EXP: [34/64] fullTime 56.5332 seconds
EXP: [45/64] fullTime 56.5325 seconds
EXP: [30/64] fullTime 56.5324 seconds
EXP: [36/64] fullTime 56.5331 seconds
EXP: [41/64] fullTime 56.5324 seconds
EXP: [64/64] fullTime 56.5317 seconds
EXP: [15/64] fullTime 56.5329 seconds
EXP: [20/64] fullTime 56.5332 seconds
EXP: [22/64] fullTime 56.5332 seconds
EXP: [25/64] fullTime 56.5326 seconds

OK 1: result matches reference
OK 2: result matches reference
OK 3: result matches reference
OK 4: result matches reference
OK 5: result matches reference
