[2/64] Running on node112
DESC: dir=/var/scratch/dbuurman/kmeans/size_27/clusters_4/dimension_4/seed_971 numMeans=4 convergenceDelta=0.0001 thresholdMultiplier=0
[1/64] Running on node112
[3/64] Running on node112
[4/64] Running on node112
[5/64] Running on node112
[7/64] Running on node112
[6/64] Running on node112
[8/64] Running on node112
[18/64] Running on node114
[13/64] Running on node113
[36/64] Running on node116
[9/64] Running on node113
[34/64] Running on node116
[17/64] Running on node114
[49/64] Running on node118
[19/64] Running on node114
[55/64] Running on node118
[11/64] Running on node113
[39/64] Running on node116
[15/64] Running on node113
[33/64] Running on node116
[21/64] Running on node114
[51/64] Running on node118
[25/64] Running on node115
[23/64] Running on node114
[52/64] Running on node118
[26/64] Running on node115
[10/64] Running on node113
[35/64] Running on node116
[12/64] Running on node113
[40/64] Running on node116
[22/64] Running on node114
[50/64] Running on node118
[27/64] Running on node115
[41/64] Running on node117
[20/64] Running on node114
[54/64] Running on node118
[57/64] Running on node119
[28/64] Running on node115
[43/64] Running on node117
[16/64] Running on node113
[38/64] Running on node116
[56/64] Running on node118
[58/64] Running on node119
[29/64] Running on node115
[14/64] Running on node113
[37/64] Running on node116
[24/64] Running on node114
[53/64] Running on node118
[59/64] Running on node119
[30/64] Running on node115
[42/64] Running on node117
[60/64] Running on node119
[31/64] Running on node115
[44/64] Running on node117
[61/64] Running on node119
[32/64] Running on node115
[46/64] Running on node117
[62/64] Running on node119
[48/64] Running on node117
[45/64] Running on node117
[47/64] Running on node117
[63/64] Running on node119
[64/64] Running on node119

Reading file: /var/scratch/dbuurman/kmeans/size_27/clusters_4/dimension_4/seed_971/data.txt
EXP: readTime 91.3185 seconds
Detected 134217728 data points of dimension 4.


EXP 1: using seed 4e3cee8d
EXP 3: [62/64] calculationTime 3.49192 seconds
EXP 3: [26/64] calculationTime 3.49192 seconds
EXP 3: [47/64] calculationTime 3.49191 seconds
EXP 3: [13/64] calculationTime 3.49191 seconds
EXP 3: [40/64] calculationTime 3.49191 seconds
EXP 3: [21/64] calculationTime 3.49191 seconds
EXP 3: [56/64] calculationTime 3.49192 seconds
EXP 3: [60/64] calculationTime 3.49192 seconds
EXP 3: [27/64] calculationTime 3.49191 seconds
EXP 3: [42/64] calculationTime 3.49191 seconds
EXP 3: [12/64] calculationTime 3.49191 seconds
EXP 3: [34/64] calculationTime 3.49191 seconds
EXP 3: [20/64] calculationTime 3.49191 seconds
EXP 3: [50/64] calculationTime 3.49192 seconds
EXP 3: [61/64] calculationTime 3.49191 seconds
EXP 3: [28/64] calculationTime 3.49192 seconds
EXP 3: [45/64] calculationTime 3.49191 seconds
EXP 3: [9/64] calculationTime 3.49191 seconds
EXP 3: [35/64] calculationTime 3.49191 seconds
EXP 3: [43/64] calculationTime 3.49191 seconds
EXP 3: [10/64] calculationTime 3.49191 seconds
EXP 3: [37/64] calculationTime 3.49191 seconds
EXP 3: [24/64] calculationTime 3.49192 seconds
EXP 3: [54/64] calculationTime 3.49192 seconds
EXP 3: [63/64] calculationTime 3.49191 seconds
EXP 3: [30/64] calculationTime 3.49191 seconds
EXP 3: [18/64] calculationTime 3.49191 seconds
EXP 3: [29/64] calculationTime 3.49191 seconds
EXP 3: [41/64] calculationTime 3.49191 seconds
EXP 3: [16/64] calculationTime 3.49191 seconds
EXP 4: [6/64] calculationTime 1.5138 seconds
EXP 4: [2/64] calculationTime 1.5138 seconds
EXP 4: [7/64] calculationTime 1.51381 seconds
EXP 4: [3/64] calculationTime 1.51379 seconds
EXP 4: [5/64] calculationTime 1.51379 seconds
Stopping iterations due to convergence delta.
EXP 4: [1/64] calculationTime 1.51382 seconds
EXP 4: iterations 17
EXP 4: [4/64] calculationTime 1.5138 seconds
EXP 4: [8/64] calculationTime 1.5138 seconds
EXP 4: [33/64] calculationTime 1.51379 seconds
EXP 4: [20/64] calculationTime 1.5138 seconds
EXP 4: [64/64] calculationTime 1.5138 seconds
EXP 4: [30/64] calculationTime 1.5138 seconds
EXP 4: [42/64] calculationTime 1.5138 seconds
EXP 4: [15/64] calculationTime 1.5138 seconds
EXP 4: [38/64] calculationTime 1.51379 seconds
EXP 4: [24/64] calculationTime 1.51379 seconds
EXP 4: [51/64] calculationTime 1.5138 seconds
EXP 4: [57/64] calculationTime 1.5138 seconds
EXP 4: [31/64] calculationTime 1.5138 seconds
EXP 4: [45/64] calculationTime 1.5138 seconds
EXP 4: [14/64] calculationTime 1.5138 seconds
EXP 4: [37/64] calculationTime 1.51379 seconds
EXP 4: [23/64] calculationTime 1.51379 seconds
EXP 4: [56/64] calculationTime 1.5138 seconds
EXP 4: [58/64] calculationTime 1.5138 seconds
EXP 4: [32/64] calculationTime 1.5138 seconds
EXP 4: [43/64] calculationTime 1.5138 seconds
EXP 4: [13/64] calculationTime 1.5138 seconds
EXP 4: [34/64] calculationTime 1.51379 seconds
EXP 4: [17/64] calculationTime 1.51379 seconds
EXP 4: [54/64] calculationTime 1.5138 seconds
EXP 4: [62/64] calculationTime 1.5138 seconds
EXP 4: [25/64] calculationTime 1.5138 seconds
EXP 4: [44/64] calculationTime 1.5138 seconds
EXP 4: [12/64] calculationTime 1.5138 seconds
EXP 4: [35/64] calculationTime 1.51379 seconds
EXP 4: writeTime 0.000955001 seconds
EXP 5: using seed 97869576
EXP 4: [22/64] calculationTime 1.5138 seconds
EXP 4: [50/64] calculationTime 1.5138 seconds
EXP 4: [60/64] calculationTime 1.5138 seconds
EXP 4: [26/64] calculationTime 1.5138 seconds
EXP 4: [46/64] calculationTime 1.5138 seconds
EXP 4: [9/64] calculationTime 1.5138 seconds
EXP 4: [40/64] calculationTime 1.51379 seconds
EXP 4: [19/64] calculationTime 1.5138 seconds
EXP 4: [49/64] calculationTime 1.51379 seconds
EXP 4: [63/64] calculationTime 1.5138 seconds
EXP 4: [27/64] calculationTime 1.5138 seconds
EXP 4: [48/64] calculationTime 1.5138 seconds
EXP 4: [10/64] calculationTime 1.5138 seconds
EXP 4: [39/64] calculationTime 1.51379 seconds
EXP 4: [18/64] calculationTime 1.5138 seconds
EXP 4: [53/64] calculationTime 1.5138 seconds
EXP 4: [61/64] calculationTime 1.5138 seconds
EXP 4: [28/64] calculationTime 1.5138 seconds
EXP 4: [41/64] calculationTime 1.5138 seconds
EXP 4: [16/64] calculationTime 1.5138 seconds
EXP 4: [36/64] calculationTime 1.51379 seconds
EXP 4: [11/64] calculationTime 1.5138 seconds
EXP 4: [21/64] calculationTime 1.51379 seconds
EXP 4: [52/64] calculationTime 1.5138 seconds
EXP 4: [59/64] calculationTime 1.5138 seconds
EXP 4: [29/64] calculationTime 1.5138 seconds
EXP 4: [47/64] calculationTime 1.5138 seconds
EXP 4: [55/64] calculationTime 1.5138 seconds
EXP 5: [4/64] calculationTime 0.969384 seconds
EXP 5: [5/64] calculationTime 0.969383 seconds
EXP 5: [6/64] calculationTime 0.969384 seconds
EXP 5: [2/64] calculationTime 0.969384 seconds
EXP 5: [7/64] calculationTime 0.969383 seconds
EXP 5: [3/64] calculationTime 0.969382 seconds
Stopping iterations due to convergence delta.
EXP 5: [1/64] calculationTime 0.969403 seconds
EXP 5: iterations 10
EXP 5: [8/64] calculationTime 0.969384 seconds
EXP 5: [61/64] calculationTime 0.969381 seconds
EXP 5: [36/64] calculationTime 0.969385 seconds
EXP: [5/64] fullTime 116.695 seconds
EXP: [7/64] fullTime 116.695 seconds
EXP 5: [52/64] calculationTime 0.969388 seconds
EXP 5: [60/64] calculationTime 0.969386 seconds
EXP 5: [31/64] calculationTime 0.969378 seconds
EXP 5: [47/64] calculationTime 0.969385 seconds
EXP 5: [15/64] calculationTime 0.969384 seconds
EXP 5: [37/64] calculationTime 0.969384 seconds
EXP: [3/64] fullTime 116.695 seconds
EXP: [4/64] fullTime 116.695 seconds
EXP: [6/64] fullTime 116.695 seconds
EXP: [2/64] fullTime 116.695 seconds
EXP: [8/64] fullTime 116.695 seconds
EXP 5: [22/64] calculationTime 0.969383 seconds
EXP 5: [56/64] calculationTime 0.969388 seconds
EXP 5: [64/64] calculationTime 0.969386 seconds
EXP 5: [32/64] calculationTime 0.969384 seconds
EXP 5: [41/64] calculationTime 0.969385 seconds
EXP 5: [14/64] calculationTime 0.969386 seconds
EXP 5: [34/64] calculationTime 0.969385 seconds
EXP 5: writeTime 0.000731001 seconds
EXP: [1/64] fullTime 116.695 seconds
EXP 5: [21/64] calculationTime 0.969385 seconds
EXP 5: [51/64] calculationTime 0.969386 seconds
EXP 5: [57/64] calculationTime 0.969381 seconds
EXP 5: [25/64] calculationTime 0.969378 seconds
EXP 5: [48/64] calculationTime 0.969388 seconds
EXP 5: [13/64] calculationTime 0.969385 seconds
EXP 5: [35/64] calculationTime 0.969384 seconds
EXP 5: [18/64] calculationTime 0.969383 seconds
EXP 5: [55/64] calculationTime 0.969386 seconds
EXP 5: [58/64] calculationTime 0.969393 seconds
EXP 5: [26/64] calculationTime 0.969385 seconds
EXP 5: [42/64] calculationTime 0.969387 seconds
EXP 5: [12/64] calculationTime 0.969386 seconds
EXP 5: [40/64] calculationTime 0.969385 seconds
EXP 5: [19/64] calculationTime 0.969384 seconds
EXP 5: [54/64] calculationTime 0.969387 seconds
EXP 5: [62/64] calculationTime 0.969386 seconds
EXP 5: [27/64] calculationTime 0.969378 seconds
EXP 5: [45/64] calculationTime 0.969385 seconds
EXP 5: [9/64] calculationTime 0.969385 seconds
EXP 5: [39/64] calculationTime 0.969383 seconds
EXP 5: [20/64] calculationTime 0.969384 seconds
EXP 5: [50/64] calculationTime 0.969387 seconds
EXP 5: [59/64] calculationTime 0.969382 seconds
EXP 5: [29/64] calculationTime 0.969378 seconds
EXP 5: [43/64] calculationTime 0.969385 seconds
EXP 5: [11/64] calculationTime 0.969384 seconds
EXP 5: [38/64] calculationTime 0.969385 seconds
EXP 5: [24/64] calculationTime 0.969384 seconds
EXP 5: [49/64] calculationTime 0.969383 seconds
EXP 5: [63/64] calculationTime 0.969382 seconds
EXP 5: [28/64] calculationTime 0.969383 seconds
EXP 5: [44/64] calculationTime 0.969387 seconds
EXP 5: [16/64] calculationTime 0.969387 seconds
EXP 5: [33/64] calculationTime 0.96938 seconds
EXP 5: [23/64] calculationTime 0.969384 seconds
EXP 5: [53/64] calculationTime 0.969387 seconds
EXP: [63/64] fullTime 116.693 seconds
EXP 5: [30/64] calculationTime 0.969383 seconds
EXP 5: [46/64] calculationTime 0.969387 seconds
EXP: [37/64] fullTime 116.694 seconds
EXP: [54/64] fullTime 116.694 seconds
EXP: [62/64] fullTime 116.693 seconds
EXP: [31/64] fullTime 116.694 seconds
EXP: [47/64] fullTime 116.693 seconds
EXP 5: [10/64] calculationTime 0.969386 seconds
EXP: [35/64] fullTime 116.694 seconds
EXP 5: [17/64] calculationTime 0.969382 seconds
EXP: [52/64] fullTime 116.694 seconds
EXP: [61/64] fullTime 116.693 seconds
EXP: [25/64] fullTime 116.694 seconds
EXP: [41/64] fullTime 116.694 seconds
EXP: [16/64] fullTime 116.694 seconds
EXP: [20/64] fullTime 116.694 seconds
EXP: [56/64] fullTime 116.694 seconds
EXP: [60/64] fullTime 116.694 seconds
EXP: [29/64] fullTime 116.694 seconds
EXP: [48/64] fullTime 116.694 seconds
EXP: [9/64] fullTime 116.694 seconds
EXP: [24/64] fullTime 116.694 seconds
EXP: [53/64] fullTime 116.694 seconds
EXP: [64/64] fullTime 116.693 seconds
EXP: [28/64] fullTime 116.694 seconds
EXP: [45/64] fullTime 116.693 seconds
EXP: [14/64] fullTime 116.694 seconds
EXP: [22/64] fullTime 116.694 seconds
EXP: [55/64] fullTime 116.694 seconds
EXP: [57/64] fullTime 116.694 seconds
EXP: [27/64] fullTime 116.694 seconds
EXP: [43/64] fullTime 116.694 seconds
EXP: [12/64] fullTime 116.694 seconds
EXP: [21/64] fullTime 116.694 seconds
EXP: [50/64] fullTime 116.694 seconds
EXP: [58/64] fullTime 116.694 seconds
EXP: [30/64] fullTime 116.694 seconds
EXP: [46/64] fullTime 116.694 seconds
EXP: [10/64] fullTime 116.694 seconds
EXP: [18/64] fullTime 116.694 seconds
EXP: [49/64] fullTime 116.694 seconds
EXP: [59/64] fullTime 116.694 seconds
EXP: [32/64] fullTime 116.694 seconds
EXP: [42/64] fullTime 116.694 seconds
EXP: [13/64] fullTime 116.694 seconds
EXP: [33/64] fullTime 116.694 seconds
EXP: [19/64] fullTime 116.694 seconds
EXP: [51/64] fullTime 116.694 seconds
EXP: [26/64] fullTime 116.694 seconds
EXP: [44/64] fullTime 116.694 seconds
EXP: [11/64] fullTime 116.694 seconds
EXP: [36/64] fullTime 116.694 seconds
EXP: [17/64] fullTime 116.694 seconds
EXP: [15/64] fullTime 116.694 seconds
EXP: [34/64] fullTime 116.694 seconds
EXP: [23/64] fullTime 116.694 seconds
EXP: [40/64] fullTime 116.694 seconds
EXP: [39/64] fullTime 116.694 seconds
EXP: [38/64] fullTime 116.694 seconds

OK 1: result matches reference
OK 2: result matches reference
OK 3: result matches reference
OK 4: result matches reference
OK 5: result matches reference
